Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,1
Sample Interval,0.01
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Label,
TIME,CH1
3.770e+00,0.908
3.780e+00,0.908
3.790e+00,0.908
3.800e+00,0.892
3.810e+00,0.908
3.820e+00,0.908
3.830e+00,0.908
3.840e+00,0.9
3.850e+00,0.9
3.860e+00,0.9
3.870e+00,0.9
3.880e+00,0.9
3.890e+00,0.9
3.900e+00,0.908
3.910e+00,0.908
3.920e+00,0.9
3.930e+00,0.9
3.940e+00,0.9
3.950e+00,0.892
3.960e+00,0.9
3.970e+00,0.9
3.980e+00,0.892
3.990e+00,0.916
4.000e+00,0.9
4.010e+00,0.916
4.020e+00,0.9
4.030e+00,0.892
4.040e+00,0.916
4.050e+00,0.916
4.060e+00,0.9
4.070e+00,0.9
4.080e+00,0.908
4.090e+00,0.908
4.100e+00,0.892
4.110e+00,0.9
4.120e+00,0.892
4.130e+00,0.9
4.140e+00,0.9
4.150e+00,0.9
4.160e+00,0.916
4.170e+00,0.908
4.180e+00,0.892
4.190e+00,0.908
4.200e+00,0.884
4.210e+00,0.908
4.220e+00,0.9
4.230e+00,0.908
4.240e+00,0.908
4.250e+00,0.892
4.260e+00,0.908
4.270e+00,0.9
4.280e+00,0.892
4.290e+00,0.908
4.300e+00,0.892
4.310e+00,0.9
4.320e+00,0.884
4.330e+00,0.908
4.340e+00,0.908
4.350e+00,0.908
4.360e+00,0.9
4.370e+00,0.9
4.380e+00,0.908
4.390e+00,0.9
4.400e+00,0.908
4.410e+00,0.9
4.420e+00,0.9
4.430e+00,0.908
4.440e+00,0.9
4.450e+00,0.9
4.460e+00,0.9
4.470e+00,0.908
4.480e+00,0.9
4.490e+00,0.9
4.500e+00,0.9
4.510e+00,0.9
4.520e+00,0.908
4.530e+00,0.908
4.540e+00,0.908
4.550e+00,0.908
4.560e+00,0.9
4.570e+00,0.908
4.580e+00,0.892
4.590e+00,0.908
4.600e+00,0.908
4.610e+00,0.9
4.620e+00,0.908
4.630e+00,0.892
4.640e+00,0.892
4.650e+00,0.908
4.660e+00,0.916
4.670e+00,0.9
4.680e+00,0.892
4.690e+00,0.9
4.700e+00,0.908
4.710e+00,0.908
4.720e+00,0.9
4.730e+00,0.908
4.740e+00,0.924
4.750e+00,0.908
4.760e+00,0.892
4.770e+00,0.908
4.780e+00,0.9
4.790e+00,0.908
4.800e+00,0.884
4.810e+00,0.9
4.820e+00,0.908
4.830e+00,0.908
4.840e+00,0.908
4.850e+00,0.908
4.860e+00,0.9
4.870e+00,0.892
4.880e+00,0.908
4.890e+00,0.892
4.900e+00,0.9
4.910e+00,0.9
4.920e+00,0.9
4.930e+00,0.908
4.940e+00,0.908
4.950e+00,0.908
4.960e+00,0.9
4.970e+00,0.9
4.980e+00,0.9
4.990e+00,0.916
5.000e+00,0.916
5.010e+00,0.9
5.020e+00,0.908
5.030e+00,0.908
5.040e+00,0.908
5.050e+00,0.908
5.060e+00,0.9
5.070e+00,0.9
5.080e+00,0.908
5.090e+00,0.908
5.100e+00,0.916
5.110e+00,0.908
5.120e+00,0.892
5.130e+00,0.9
5.140e+00,0.892
5.150e+00,0.908
5.160e+00,0.908
5.170e+00,0.916
5.180e+00,0.916
5.190e+00,0.9
5.200e+00,0.908
5.210e+00,0.9
5.220e+00,0.908
5.230e+00,0.892
5.240e+00,0.884
5.250e+00,0.9
5.260e+00,0.9
5.270e+00,0.908
5.280e+00,0.908
5.290e+00,0.908
5.300e+00,0.908
5.310e+00,0.9
5.320e+00,0.908
5.330e+00,0.9
5.340e+00,0.908
5.350e+00,0.892
5.360e+00,0.908
5.370e+00,0.908
5.380e+00,0.9
5.390e+00,0.9
5.400e+00,0.908
5.410e+00,0.908
5.420e+00,0.9
5.430e+00,0.908
5.440e+00,0.908
5.450e+00,0.9
5.460e+00,0.892
5.470e+00,0.908
5.480e+00,0.9
5.490e+00,0.884
5.500e+00,0.9
5.510e+00,0.9
5.520e+00,0.892
5.530e+00,0.892
5.540e+00,0.908
5.550e+00,0.908
5.560e+00,0.9
5.570e+00,0.9
5.580e+00,0.908
5.590e+00,0.908
5.600e+00,0.9
5.610e+00,0.9
5.620e+00,0.908
5.630e+00,0.892
5.640e+00,0.908
5.650e+00,0.908
5.660e+00,0.9
5.670e+00,0.908
5.680e+00,0.908
5.690e+00,0.9
5.700e+00,0.908
5.710e+00,0.9
5.720e+00,0.908
5.730e+00,0.908
5.740e+00,0.892
5.750e+00,0.9
5.760e+00,0.908
5.770e+00,0.908
5.780e+00,0.9
5.790e+00,0.9
5.800e+00,0.916
5.810e+00,0.908
5.820e+00,0.908
5.830e+00,0.892
5.840e+00,0.9
5.850e+00,0.9
5.860e+00,0.9
5.870e+00,0.9
5.880e+00,0.908
5.890e+00,0.908
5.900e+00,0.9
5.910e+00,0.9
5.920e+00,0.9
5.930e+00,0.9
5.940e+00,0.9
5.950e+00,0.908
5.960e+00,0.908
5.970e+00,0.908
5.980e+00,0.892
5.990e+00,0.9
6.000e+00,0.9
6.010e+00,0.908
6.020e+00,0.908
6.030e+00,0.908
6.040e+00,0.916
6.050e+00,0.908
6.060e+00,0.9
6.070e+00,0.9
6.080e+00,0.908
6.090e+00,0.916
6.100e+00,0.916
6.110e+00,0.9
6.120e+00,0.9
6.130e+00,0.9
6.140e+00,0.908
6.150e+00,0.9
6.160e+00,0.892
6.170e+00,0.9
6.180e+00,0.892
6.190e+00,0.9
6.200e+00,0.892
6.210e+00,0.908
6.220e+00,0.908
6.230e+00,0.884
6.240e+00,0.908
6.250e+00,0.9
6.260e+00,0.892
6.270e+00,0.908
6.280e+00,0.9
6.290e+00,0.908
6.300e+00,0.884
6.310e+00,0.908
6.320e+00,0.908
6.330e+00,0.908
6.340e+00,0.9
6.350e+00,0.9
6.360e+00,0.908
6.370e+00,0.9
6.380e+00,0.9
6.390e+00,0.908
6.400e+00,0.908
6.410e+00,0.916
6.420e+00,0.9
6.430e+00,0.908
6.440e+00,0.908
6.450e+00,0.908
6.460e+00,0.9
6.470e+00,0.908
6.480e+00,0.9
6.490e+00,0.908
6.500e+00,0.892
6.510e+00,0.908
6.520e+00,0.908
6.530e+00,0.9
6.540e+00,0.9
6.550e+00,0.908
6.560e+00,0.908
6.570e+00,0.908
6.580e+00,0.916
6.590e+00,0.892
6.600e+00,0.9
6.610e+00,0.908
6.620e+00,0.9
6.630e+00,0.9
6.640e+00,0.9
6.650e+00,0.9
6.660e+00,0.9
6.670e+00,0.9
6.680e+00,0.908
6.690e+00,0.892
6.700e+00,0.908
6.710e+00,0.9
6.720e+00,0.9
6.730e+00,0.892
6.740e+00,0.916
6.750e+00,0.908
6.760e+00,0.908
6.770e+00,0.908
6.780e+00,0.908
6.790e+00,0.908
6.800e+00,0.9
6.810e+00,0.9
6.820e+00,0.908
6.830e+00,0.884
6.840e+00,0.908
6.850e+00,0.9
6.860e+00,0.908
6.870e+00,0.9
6.880e+00,0.908
