Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.05
Label,,
TIME,CH1,CH2
-9.600e-04,0.02,0.004
-9.400e-04,0,0.002
-9.200e-04,-0.02,-0.022
-9.000e-04,0,0.012
-8.800e-04,0,0.002
-8.600e-04,0.02,0.002
-8.400e-04,-0.02,0.004
-8.200e-04,0,-0.004
-8.000e-04,0.04,-0.004
-7.800e-04,0,-0.006
-7.600e-04,0.02,0.004
-7.400e-04,0,0
-7.200e-04,0,-0.002
-7.000e-04,0,-0.002
-6.800e-04,0,0.004
-6.600e-04,0,0
-6.400e-04,-0.02,0.004
-6.200e-04,0,0
-6.000e-04,0,0
-5.800e-04,-0.02,0.006
-5.600e-04,0,0.012
-5.400e-04,-0.02,0.01
-5.200e-04,0.02,-0.006
-5.000e-04,0.02,-0.002
-4.800e-04,0.2,0.038
-4.600e-04,0.46,0.06
-4.400e-04,0.78,0.102
-4.200e-04,1,0.138
-4.000e-04,1.22,0.178
-3.800e-04,1.22,0.168
-3.600e-04,1.24,0.17
-3.400e-04,1.22,0.174
-3.200e-04,1.2,0.176
-3.000e-04,1.22,0.164
-2.800e-04,1.2,0.186
-2.600e-04,1.24,0.176
-2.400e-04,1.24,0.174
-2.200e-04,1.24,0.182
-2.000e-04,1.26,0.17
-1.800e-04,1.22,0.184
-1.600e-04,1.24,0.174
-1.400e-04,1.24,0.176
-1.200e-04,1.22,0.182
-1.000e-04,1.22,0.182
-8.000e-05,1.48,0.206
-6.000e-05,1.78,0.264
-4.000e-05,2.02,0.306
-2.000e-05,2.3,0.344
1.513e-17,2.64,0.402
2.000e-05,2.86,0.424
4.000e-05,3.18,0.424
6.000e-05,3.54,0.424
8.000e-05,3.78,0.424
1.000e-04,4.06,0.424
1.200e-04,4,0.424
1.400e-04,4.04,0.424
1.600e-04,4.06,0.424
1.800e-04,4.04,0.424
2.000e-04,4.04,0.424
2.200e-04,4.06,0.424
2.400e-04,4.08,0.424
2.600e-04,4.04,0.424
2.800e-04,4.06,0.424
3.000e-04,4.06,0.424
3.200e-04,4.02,0.424
3.400e-04,4.04,0.424
3.600e-04,4.06,0.424
3.800e-04,4.04,0.424
4.000e-04,4.04,0.424
4.200e-04,4.08,0.424
4.400e-04,4.04,0.424
4.600e-04,4.02,0.424
4.800e-04,4.04,0.424
5.000e-04,4.04,0.424
5.200e-04,3.76,0.424
5.400e-04,3.54,0.424
5.600e-04,3.26,0.424
5.800e-04,2.92,0.424
6.000e-04,2.7,0.424
6.200e-04,2.4,0.376
6.400e-04,2.06,0.322
6.600e-04,1.8,0.282
6.800e-04,1.56,0.238
7.000e-04,1.32,0.2
7.200e-04,1.2,0.19
7.400e-04,1.24,0.184
7.600e-04,1.24,0.186
7.800e-04,1.22,0.188
8.000e-04,1.22,0.184
8.200e-04,1.26,0.182
8.400e-04,1.24,0.192
8.600e-04,1.24,0.176
8.800e-04,1.22,0.178
9.000e-04,1.18,0.176
9.200e-04,1.2,0.188
9.400e-04,1.22,0.184
9.600e-04,1.24,0.18
9.800e-04,1.26,0.18
1.000e-03,1.22,0.17
1.020e-03,1.22,0.186
1.040e-03,1.22,0.178
1.060e-03,1.24,0.186
1.080e-03,1.26,0.188
1.100e-03,1.24,0.18
1.120e-03,1.2,0.18
1.140e-03,1.26,0.18
1.160e-03,1.2,0.176
1.180e-03,1.2,0.182
1.200e-03,1.22,0.184
1.220e-03,1.22,0.176
1.240e-03,1.2,0.184
1.260e-03,1.24,0.184
1.280e-03,1.22,0.184
1.300e-03,1.24,0.176
1.320e-03,1.26,0.184
1.340e-03,1.22,0.178
1.360e-03,1.24,0.174
1.380e-03,1.22,0.176
1.400e-03,1.24,0.182
1.420e-03,1.22,0.176
1.440e-03,1.22,0.186
1.460e-03,1.22,0.184
1.480e-03,1.24,0.19
1.500e-03,1.22,0.18
1.520e-03,1.2,0.174
1.540e-03,1.24,0.178
1.560e-03,1.22,0.186
1.580e-03,1.2,0.178
1.600e-03,1.22,0.18
1.620e-03,1.22,0.19
1.640e-03,1.22,0.186
1.660e-03,1.24,0.176
1.680e-03,1.24,0.18
1.700e-03,1.2,0.18
1.720e-03,1.24,0.176
1.740e-03,1.22,0.17
1.760e-03,1.22,0.178
1.780e-03,1.22,0.186
1.800e-03,1.2,0.188
1.820e-03,1.22,0.184
1.840e-03,1.2,0.19
1.860e-03,1.26,0.184
1.880e-03,1.24,0.182
1.900e-03,1.24,0.176
1.920e-03,1.22,0.186
1.940e-03,1.2,0.184
1.960e-03,1.2,0.188
1.980e-03,1.22,0.186
2.000e-03,1.24,0.186
2.020e-03,1.2,0.176
2.040e-03,1.22,0.184
2.060e-03,1.24,0.186
2.080e-03,1.22,0.182
2.100e-03,1.22,0.186
2.120e-03,1.22,0.19
2.140e-03,1.24,0.148
2.160e-03,1.22,0.17
2.180e-03,1.2,0.182
2.200e-03,1.2,0.178
2.220e-03,1.22,0.186
2.240e-03,1.22,0.178
2.260e-03,1.24,0.18
2.280e-03,1.28,0.176
2.300e-03,1.2,0.196
2.320e-03,1.2,0.174
2.340e-03,1.22,0.18
2.360e-03,1.22,0.176
2.380e-03,1.22,0.192
2.400e-03,1.2,0.184
2.420e-03,1.26,0.184
2.440e-03,1.24,0.174
2.460e-03,1.22,0.174
2.480e-03,1.22,0.176
2.500e-03,1.2,0.18
2.520e-03,1.22,0.184
2.540e-03,1.24,0.186
2.560e-03,1.22,0.186
2.580e-03,1.2,0.172
2.600e-03,1.22,0.186
2.620e-03,1.24,0.182
2.640e-03,1.22,0.18
2.660e-03,1.2,0.196
2.680e-03,1.22,0.18
2.700e-03,1.2,0.184
2.720e-03,1.22,0.18
2.740e-03,1.2,0.182
2.760e-03,1.24,0.176
2.780e-03,1.22,0.184
2.800e-03,1.22,0.182
2.820e-03,1.22,0.184
2.840e-03,1.22,0.188
2.860e-03,1.18,0.176
2.880e-03,1.24,0.184
2.900e-03,1.22,0.194
2.920e-03,1.22,0.182
2.940e-03,1.24,0.184
2.960e-03,1.22,0.186
2.980e-03,1.22,0.188
3.000e-03,1.2,0.186
3.020e-03,1.2,0.176
3.040e-03,1.22,0.178
3.060e-03,1.22,0.178
3.080e-03,1.22,0.182
3.100e-03,1.2,0.178
3.120e-03,1.24,0.184
3.140e-03,1.22,0.18
3.160e-03,1.22,0.176
3.180e-03,1.2,0.184
3.200e-03,1.24,0.178
3.220e-03,1.22,0.184
3.240e-03,1.22,0.188
3.260e-03,1.2,0.182
3.280e-03,1.24,0.184
3.300e-03,1.22,0.178
3.320e-03,1.26,0.184
3.340e-03,1.2,0.184
3.360e-03,1.2,0.184
3.380e-03,1.2,0.184
3.400e-03,1.22,0.182
3.420e-03,1.22,0.182
3.440e-03,1.2,0.186
3.460e-03,1.2,0.188
3.480e-03,1.22,0.178
3.500e-03,1.24,0.176
3.520e-03,1.2,0.182
3.540e-03,1.2,0.172
3.560e-03,1.2,0.174
3.580e-03,1.22,0.18
3.600e-03,1.24,0.19
3.620e-03,1.22,0.182
3.640e-03,1.22,0.186
3.660e-03,1.24,0.184
3.680e-03,1.2,0.184
3.700e-03,1.26,0.172
3.720e-03,1.22,0.184
3.740e-03,1.24,0.184
3.760e-03,1.22,0.176
3.780e-03,1.22,0.178
3.800e-03,1.24,0.19
3.820e-03,1.2,0.186
3.840e-03,1.22,0.184
3.860e-03,1.22,0.188
3.880e-03,1.22,0.168
3.900e-03,1.22,0.178
3.920e-03,1.24,0.18
3.940e-03,1.24,0.18
3.960e-03,1.22,0.184
3.980e-03,1.2,0.18
4.000e-03,1.22,0.178
4.020e-03,1.22,0.178
4.040e-03,1.26,0.22
4.060e-03,1.22,0.186
4.080e-03,1.2,0.182
4.100e-03,1.22,0.176
4.120e-03,1.24,0.19
4.140e-03,1.18,0.176
4.160e-03,1.2,0.176
4.180e-03,1.22,0.192
4.200e-03,1.22,0.172
4.220e-03,1.24,0.176
4.240e-03,1.22,0.184
4.260e-03,1.18,0.178
4.280e-03,1.2,0.188
4.300e-03,1.22,0.176
4.320e-03,1.22,0.18
4.340e-03,1.22,0.172
4.360e-03,1.22,0.166
4.380e-03,1.22,0.19
4.400e-03,1.26,0.176
4.420e-03,1.2,0.176
4.440e-03,1.22,0.18
4.460e-03,1.18,0.176
4.480e-03,1.22,0.18
4.500e-03,1.2,0.188
4.520e-03,1.2,0.172
4.540e-03,1.22,0.184
4.560e-03,1.22,0.182
4.580e-03,1.24,0.178
4.600e-03,1.22,0.182
4.620e-03,1.22,0.182
4.640e-03,1.22,0.186
4.660e-03,1.22,0.192
4.680e-03,1.18,0.176
4.700e-03,1.22,0.186
4.720e-03,1.24,0.178
4.740e-03,1.2,0.174
4.760e-03,1.22,0.182
4.780e-03,1.22,0.176
4.800e-03,1.22,0.19
4.820e-03,1.24,0.156
4.840e-03,1.24,0.174
4.860e-03,1.18,0.18
4.880e-03,1.22,0.174
4.900e-03,1.22,0.2
4.920e-03,1.26,0.178
4.940e-03,1.2,0.192
4.960e-03,1.2,0.184
4.980e-03,1.34,0.324
5.000e-03,1.18,0.178
5.020e-03,1.2,0.21
5.040e-03,1.2,0.192
5.060e-03,1.22,0.18
5.080e-03,1.22,0.186
5.100e-03,1.22,0.184
5.120e-03,1.26,0.186
5.140e-03,1.2,0.194
5.160e-03,1.24,0.182
5.180e-03,1.22,0.186
5.200e-03,1.2,0.19
5.220e-03,1.2,0.178
5.240e-03,1.22,0.174
5.260e-03,1.22,0.182
5.280e-03,1.18,0.178
5.300e-03,1.24,0.172
5.320e-03,1.22,0.186
5.340e-03,1.22,0.194
5.360e-03,1.22,0.18
5.380e-03,1.22,0.2
5.400e-03,1.24,0.196
5.420e-03,1.22,0.178
5.440e-03,1.22,0.18
5.460e-03,1.26,0.184
5.480e-03,1.2,0.192
5.500e-03,1.24,0.188
5.520e-03,1.26,0.18
5.540e-03,1.22,0.194
5.560e-03,1.22,0.196
5.580e-03,1.2,0.19
5.600e-03,1.22,0.18
5.620e-03,1.22,0.186
5.640e-03,1.24,0.188
5.660e-03,1.22,0.186
5.680e-03,1.22,0.19
5.700e-03,1.2,0.184
5.720e-03,1.2,0.174
5.740e-03,1.22,0.182
5.760e-03,1.22,0.196
5.780e-03,1.22,0.192
5.800e-03,1.26,0.188
5.820e-03,1.22,0.186
5.840e-03,1.22,0.178
