Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-06,
Sample Interval,1e-08,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,5
Label,,
TIME,CH1,CH2
2.610e-06,29.9,16.3
2.620e-06,29.9,16.1
2.630e-06,30.3,16.5
2.640e-06,30.7,16.3
2.650e-06,29.9,16.7
2.660e-06,30.3,16.3
2.670e-06,30.1,16.5
2.680e-06,30.1,16.3
2.690e-06,29.9,16.3
2.700e-06,30.1,16.3
2.710e-06,30.3,16.5
2.720e-06,30.5,16.3
2.730e-06,30.1,16.5
2.740e-06,30.3,16.5
2.750e-06,30.3,16.3
2.760e-06,30.3,16.3
2.770e-06,30.3,16.1
2.780e-06,30.1,16.3
2.790e-06,29.9,16.3
2.800e-06,30.3,16.3
2.810e-06,30.3,16.3
2.820e-06,29.9,16.7
2.830e-06,30.5,16.3
2.840e-06,30.3,16.5
2.850e-06,30.1,16.3
2.860e-06,29.9,16.3
2.870e-06,29.9,16.3
2.880e-06,30.1,16.3
2.890e-06,30.3,16.3
2.900e-06,30.3,16.7
2.910e-06,30.3,16.5
2.920e-06,29.9,16.5
2.930e-06,30.1,16.3
2.940e-06,30.5,16.3
2.950e-06,30.3,16.1
2.960e-06,30.5,16.7
2.970e-06,30.1,16.3
2.980e-06,30.3,16.5
2.990e-06,30.3,16.5
3.000e-06,30.1,16.3
3.010e-06,30.1,16.3
3.020e-06,30.3,16.7
3.030e-06,30.5,16.5
3.040e-06,30.5,16.5
3.050e-06,30.1,16.1
3.060e-06,29.9,16.5
3.070e-06,30.1,16.3
3.080e-06,30.3,16.3
3.090e-06,30.1,16.7
3.100e-06,30.1,16.7
3.110e-06,30.5,16.5
3.120e-06,30.1,16.5
3.130e-06,30.5,16.7
3.140e-06,30.1,16.9
3.150e-06,30.1,16.3
3.160e-06,30.3,16.7
3.170e-06,30.5,16.5
3.180e-06,30.1,16.5
3.190e-06,30.3,16.3
3.200e-06,30.3,16.3
3.210e-06,30.1,16.7
3.220e-06,30.1,16.1
3.230e-06,30.1,16.3
3.240e-06,29.7,16.3
3.250e-06,30.3,16.3
3.260e-06,30.1,16.3
3.270e-06,30.1,16.3
3.280e-06,30.1,16.7
3.290e-06,30.1,16.5
3.300e-06,30.1,16.5
3.310e-06,29.9,16.7
3.320e-06,30.1,16.5
3.330e-06,30.1,16.5
3.340e-06,29.9,16.5
3.350e-06,30.3,16.5
3.360e-06,30.1,16.3
3.370e-06,30.1,16.5
3.380e-06,30.3,16.7
3.390e-06,30.3,16.3
3.400e-06,30.1,16.5
3.410e-06,30.1,16.5
3.420e-06,29.9,16.3
3.430e-06,29.7,16.5
3.440e-06,29.9,16.7
3.450e-06,30.1,16.1
3.460e-06,30.1,16.5
3.470e-06,30.1,16.7
3.480e-06,29.9,16.9
3.490e-06,29.9,16.3
3.500e-06,30.1,16.7
3.510e-06,30.1,16.5
3.520e-06,30.5,15.9
3.530e-06,29.9,16.9
3.540e-06,30.3,16.5
3.550e-06,30.1,16.3
3.560e-06,30.1,16.5
3.570e-06,30.5,16.3
3.580e-06,30.7,16.3
3.590e-06,30.3,16.3
3.600e-06,29.9,16.1
3.610e-06,30.3,16.7
3.620e-06,30.1,16.7
3.630e-06,30.1,16.5
3.640e-06,30.3,16.3
3.650e-06,30.1,16.3
3.660e-06,30.1,16.9
3.670e-06,30.1,16.7
3.680e-06,30.5,16.7
3.690e-06,30.1,16.3
3.700e-06,30.1,16.7
3.710e-06,29.9,16.7
3.720e-06,30.3,16.5
3.730e-06,30.3,16.5
3.740e-06,30.3,16.9
3.750e-06,30.1,16.7
3.760e-06,30.1,16.3
3.770e-06,29.9,16.7
3.780e-06,30.3,16.5
3.790e-06,30.3,16.5
3.800e-06,30.5,16.3
3.810e-06,30.5,16.7
3.820e-06,30.3,16.5
3.830e-06,29.9,16.7
3.840e-06,30.3,16.5
3.850e-06,29.9,16.3
3.860e-06,30.3,16.5
3.870e-06,30.3,16.5
3.880e-06,30.3,16.5
3.890e-06,30.5,16.7
3.900e-06,30.1,16.5
3.910e-06,29.9,16.7
3.920e-06,30.1,16.5
3.930e-06,30.1,16.5
3.940e-06,30.1,16.5
3.950e-06,30.3,16.7
3.960e-06,30.3,16.7
3.970e-06,30.3,16.7
3.980e-06,30.1,16.7
3.990e-06,29.9,16.5
4.000e-06,30.3,16.5
4.010e-06,30.3,16.7
4.020e-06,30.3,16.7
4.030e-06,30.3,16.7
4.040e-06,30.1,16.5
4.050e-06,30.5,16.7
4.060e-06,30.1,16.5
4.070e-06,30.3,16.5
4.080e-06,30.3,16.7
4.090e-06,30.1,16.9
4.100e-06,30.1,16.9
4.110e-06,30.1,16.7
4.120e-06,30.3,16.7
4.130e-06,30.1,16.9
4.140e-06,30.3,16.7
4.150e-06,29.9,16.7
4.160e-06,30.3,16.9
4.170e-06,30.3,16.7
4.180e-06,30.3,16.7
4.190e-06,30.3,16.5
4.200e-06,30.1,16.5
4.210e-06,30.3,16.5
4.220e-06,30.1,16.7
4.230e-06,30.1,16.5
4.240e-06,30.1,16.7
4.250e-06,30.3,16.9
4.260e-06,29.9,16.9
4.270e-06,30.1,16.7
4.280e-06,29.9,16.9
4.290e-06,30.3,16.7
4.300e-06,30.1,16.7
4.310e-06,30.3,16.7
4.320e-06,30.5,16.7
4.330e-06,30.1,16.9
4.340e-06,30.5,16.7
4.350e-06,30.1,16.9
4.360e-06,30.3,16.5
4.370e-06,30.3,16.7
