Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.2,0.1
Label,,
TIME,CH1,CH2
5.580e-03,1,0.596
5.600e-03,1.016,0.58
5.620e-03,1.008,0.588
5.640e-03,1.008,0.588
5.660e-03,1.008,0.608
5.680e-03,1.016,0.588
5.700e-03,1.04,0.6
5.720e-03,1.024,0.572
5.740e-03,1.008,0.588
5.760e-03,1,0.604
5.780e-03,0.992,0.576
5.800e-03,1.016,0.588
5.820e-03,1.024,0.6
5.840e-03,1.008,0.588
5.860e-03,0.992,0.592
5.880e-03,1.008,0.584
5.900e-03,1.008,0.584
5.920e-03,1,0.588
5.940e-03,1.016,0.58
5.960e-03,1.008,0.588
5.980e-03,1,0.54
6.000e-03,1,0.58
6.020e-03,1,0.564
6.040e-03,1,0.588
6.060e-03,0.984,0.592
6.080e-03,0.984,0.564
6.100e-03,0.968,0.568
6.120e-03,0.96,0.576
6.140e-03,0.944,0.552
6.160e-03,0.928,0.532
6.180e-03,0.936,0.532
6.200e-03,0.912,0.54
6.220e-03,0.912,0.524
6.240e-03,0.88,0.532
6.260e-03,0.872,0.512
6.280e-03,0.856,0.484
6.300e-03,0.88,0.488
6.320e-03,0.848,0.492
6.340e-03,0.856,0.512
6.360e-03,0.84,0.468
6.380e-03,0.832,0.476
6.400e-03,0.816,0.476
6.420e-03,0.808,0.492
6.440e-03,0.784,0.5
6.460e-03,0.792,0.504
6.480e-03,0.768,0.46
6.500e-03,0.76,0.46
6.520e-03,0.752,0.436
6.540e-03,0.752,0.448
6.560e-03,0.728,0.436
6.580e-03,0.712,0.412
6.600e-03,0.72,0.412
6.620e-03,0.704,0.404
6.640e-03,0.688,0.412
6.660e-03,0.68,0.404
6.680e-03,0.68,0.4
6.700e-03,0.656,0.38
6.720e-03,0.656,0.388
6.740e-03,0.64,0.38
6.760e-03,0.632,0.36
6.780e-03,0.624,0.36
6.800e-03,0.608,0.36
6.820e-03,0.6,0.352
6.840e-03,0.592,0.312
6.860e-03,0.584,0.352
6.880e-03,0.592,0.316
6.900e-03,0.584,0.34
6.920e-03,0.552,0.312
6.940e-03,0.536,0.3
6.960e-03,0.536,0.316
6.980e-03,0.528,0.304
7.000e-03,0.528,0.308
7.020e-03,0.504,0.308
7.040e-03,0.488,0.276
7.060e-03,0.488,0.268
7.080e-03,0.472,0.268
7.100e-03,0.472,0.268
7.120e-03,0.464,0.276
7.140e-03,0.448,0.276
7.160e-03,0.472,0.276
7.180e-03,0.424,0.236
7.200e-03,0.416,0.256
7.220e-03,0.4,0.232
7.240e-03,0.4,0.244
7.260e-03,0.392,0.224
