Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-06,
Sample Interval,1e-08,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Label,,
TIME,CH1,CH2
1.170e-06,9.92,2.82
1.180e-06,9.84,2.82
1.190e-06,9.92,2.8
1.200e-06,9.92,2.82
1.210e-06,9.92,2.82
1.220e-06,9.92,2.78
1.230e-06,10,2.8
1.240e-06,10,2.84
1.250e-06,9.92,2.8
1.260e-06,9.92,2.82
1.270e-06,9.92,2.82
1.280e-06,10.08,2.8
1.290e-06,9.92,2.82
1.300e-06,9.92,2.86
1.310e-06,9.84,2.82
1.320e-06,9.76,2.84
1.330e-06,9.92,2.78
1.340e-06,9.92,2.8
1.350e-06,9.92,2.86
1.360e-06,10,2.86
1.370e-06,9.84,2.8
1.380e-06,9.92,2.82
1.390e-06,10,2.8
1.400e-06,10.08,2.78
1.410e-06,10,2.78
1.420e-06,9.92,2.8
1.430e-06,9.84,2.78
1.440e-06,10,2.78
1.450e-06,9.92,2.82
1.460e-06,10.08,2.82
1.470e-06,10,2.78
1.480e-06,9.92,2.8
1.490e-06,10.08,2.78
1.500e-06,9.92,2.8
1.510e-06,9.84,2.78
1.520e-06,9.92,2.82
1.530e-06,9.68,2.76
1.540e-06,9.6,2.74
1.550e-06,9.6,2.7
1.560e-06,9.68,2.58
1.570e-06,9.52,2.56
1.580e-06,9.6,2.58
1.590e-06,9.52,2.62
1.600e-06,9.36,2.7
1.610e-06,9.2,2.68
1.620e-06,9.04,2.58
1.630e-06,9.12,2.54
1.640e-06,9.12,2.44
1.650e-06,8.96,2.34
1.660e-06,9.04,2.4
1.670e-06,8.72,2.42
1.680e-06,8.56,2.44
1.690e-06,8.48,2.46
1.700e-06,8.56,2.34
1.710e-06,8.48,2.28
1.720e-06,8.4,2.28
1.730e-06,8.32,2.18
1.740e-06,8.08,2.22
1.750e-06,8.08,2.22
1.760e-06,8,2.16
1.770e-06,8,2.12
1.780e-06,8.08,2.14
1.790e-06,8,2.1
1.800e-06,8.08,2.14
1.810e-06,7.68,2.12
1.820e-06,7.6,2.04
1.830e-06,7.6,2
1.840e-06,7.68,1.94
1.850e-06,7.6,1.84
1.860e-06,7.68,1.88
1.870e-06,7.2,1.88
1.880e-06,7.04,1.92
1.890e-06,7.04,1.9
1.900e-06,7.04,1.82
1.910e-06,6.96,1.76
1.920e-06,7.04,1.74
1.930e-06,7.04,1.74
1.940e-06,6.8,1.8
1.950e-06,6.64,1.8
1.960e-06,6.48,1.78
1.970e-06,6.4,1.7
1.980e-06,6.56,1.62
1.990e-06,6.48,1.54
2.000e-06,6.56,1.5
2.010e-06,6.24,1.52
2.020e-06,6,1.54
2.030e-06,6.08,1.6
2.040e-06,6.08,1.48
2.050e-06,6.08,1.44
2.060e-06,6,1.42
2.070e-06,5.92,1.38
2.080e-06,5.6,1.38
2.090e-06,5.52,1.38
2.100e-06,5.68,1.26
2.110e-06,5.6,1.3
2.120e-06,5.6,1.28
2.130e-06,5.52,1.26
2.140e-06,5.52,1.34
2.150e-06,5.36,1.34
2.160e-06,5.04,1.26
2.170e-06,5.28,1.2
2.180e-06,5.28,1.1
