Model,DPO3034
Firmware Version,2.16

Point Format,Y,,
-1.6000000e-07,0.138,0.1,0.062
-1.5960000e-07,0.138,0.098,0.06
-1.5920000e-07,0.14,0.102,0.06
-1.5880000e-07,0.14,0.106,0.06
-1.5840000e-07,0.14,0.108,0.058
-1.5800000e-07,0.136,0.11,0.058
-1.5760000e-07,0.14,0.114,0.062
-1.5720000e-07,0.142,0.12,0.062
-1.5680000e-07,0.142,0.116,0.062
-1.5640000e-07,0.142,0.118,0.062
-1.5600000e-07,0.142,0.12,0.062
-1.5560000e-07,0.144,0.116,0.062
-1.5520000e-07,0.144,0.118,0.062
-1.5480000e-07,0.144,0.116,0.062
-1.5440000e-07,0.142,0.116,0.062
-1.5400000e-07,0.142,0.114,0.064
-1.5360000e-07,0.14,0.112,0.064
-1.5320000e-07,0.138,0.108,0.064
-1.5280000e-07,0.138,0.108,0.062
-1.5240000e-07,0.136,0.106,0.062
-1.5200000e-07,0.136,0.106,0.064
-1.5160000e-07,0.138,0.104,0.068
-1.5120000e-07,0.14,0.102,0.064
-1.5080000e-07,0.138,0.104,0.064
-1.5040000e-07,0.136,0.102,0.062
-1.5000000e-07,0.136,0.106,0.062
-1.4960000e-07,0.138,0.102,0.062
-1.4920000e-07,0.138,0.102,0.062
-1.4880000e-07,0.142,0.108,0.062
-1.4840000e-07,0.144,0.108,0.062
-1.4800000e-07,0.146,0.11,0.066
-1.4760000e-07,0.144,0.112,0.068
-1.4720000e-07,0.142,0.116,0.068
-1.4680000e-07,0.144,0.116,0.068
-1.4640000e-07,0.148,0.114,0.064
-1.4600000e-07,0.146,0.116,0.068
-1.4560000e-07,0.148,0.116,0.068
-1.4520000e-07,0.146,0.112,0.068
-1.4480000e-07,0.144,0.11,0.068
-1.4440000e-07,0.146,0.112,0.068
-1.4400000e-07,0.144,0.108,0.068
-1.4360000e-07,0.14,0.108,0.068
-1.4320000e-07,0.14,0.108,0.066
-1.4280000e-07,0.14,0.106,0.064
-1.4240000e-07,0.14,0.104,0.068
-1.4200000e-07,0.138,0.104,0.07
-1.4160000e-07,0.138,0.102,0.07
-1.4120000e-07,0.14,0.106,0.07
-1.4080000e-07,0.142,0.106,0.068
-1.4040000e-07,0.144,0.106,0.068
-1.4000000e-07,0.142,0.106,0.068
-1.3960000e-07,0.142,0.108,0.068
-1.3920000e-07,0.14,0.106,0.068
-1.3880000e-07,0.146,0.106,0.068
-1.3840000e-07,0.144,0.112,0.068
-1.3800000e-07,0.146,0.112,0.072
-1.3760000e-07,0.148,0.114,0.072
-1.3720000e-07,0.148,0.114,0.07
-1.3680000e-07,0.15,0.118,0.072
-1.3640000e-07,0.152,0.114,0.07
-1.3600000e-07,0.152,0.112,0.068
-1.3560000e-07,0.148,0.112,0.068
-1.3520000e-07,0.15,0.112,0.066
-1.3480000e-07,0.148,0.11,0.068
-1.3440000e-07,0.14,0.11,0.07
-1.3400000e-07,0.14,0.11,0.072
-1.3360000e-07,0.14,0.106,0.07
-1.3320000e-07,0.14,0.102,0.07
-1.3280000e-07,0.14,0.102,0.07
-1.3240000e-07,0.138,0.1,0.072
-1.3200000e-07,0.136,0.1,0.07
-1.3160000e-07,0.138,0.098,0.068
-1.3120000e-07,0.14,0.1,0.07
-1.3080000e-07,0.142,0.104,0.07
-1.3040000e-07,0.142,0.104,0.068
-1.3000000e-07,0.142,0.108,0.068
-1.2960000e-07,0.144,0.112,0.07
-1.2920000e-07,0.144,0.116,0.07
-1.2880000e-07,0.146,0.114,0.068
-1.2840000e-07,0.15,0.116,0.068
-1.2800000e-07,0.152,0.118,0.068
-1.2760000e-07,0.15,0.118,0.068
-1.2720000e-07,0.152,0.12,0.068
-1.2680000e-07,0.154,0.116,0.07
-1.2640000e-07,0.152,0.116,0.072
-1.2600000e-07,0.15,0.114,0.068
-1.2560000e-07,0.148,0.114,0.072
-1.2520000e-07,0.148,0.114,0.07
-1.2480000e-07,0.148,0.112,0.068
-1.2440000e-07,0.144,0.108,0.072
-1.2400000e-07,0.136,0.108,0.07
-1.2360000e-07,0.138,0.104,0.068
-1.2320000e-07,0.138,0.106,0.068
-1.2280000e-07,0.136,0.104,0.068
-1.2240000e-07,0.134,0.102,0.07
-1.2200000e-07,0.134,0.102,0.068
-1.2160000e-07,0.134,0.1,0.072
-1.2120000e-07,0.138,0.104,0.066
-1.2080000e-07,0.14,0.106,0.064
-1.2040000e-07,0.14,0.106,0.066
-1.2000000e-07,0.142,0.106,0.068
-1.1960000e-07,0.142,0.114,0.07
-1.1920000e-07,0.146,0.116,0.07
-1.1880000e-07,0.148,0.116,0.068
-1.1840000e-07,0.148,0.118,0.068
-1.1800000e-07,0.152,0.118,0.064
-1.1760000e-07,0.152,0.122,0.068
-1.1720000e-07,0.15,0.12,0.066
-1.1680000e-07,0.15,0.12,0.066
-1.1640000e-07,0.146,0.12,0.07
-1.1600000e-07,0.15,0.116,0.066
-1.1560000e-07,0.148,0.116,0.068
-1.1520000e-07,0.142,0.112,0.066
-1.1480000e-07,0.144,0.11,0.066
-1.1440000e-07,0.144,0.108,0.068
-1.1400000e-07,0.142,0.106,0.068
-1.1360000e-07,0.14,0.108,0.066
-1.1320000e-07,0.138,0.106,0.068
-1.1280000e-07,0.134,0.104,0.068
-1.1240000e-07,0.134,0.102,0.068
-1.1200000e-07,0.138,0.102,0.068
-1.1160000e-07,0.138,0.106,0.068
-1.1120000e-07,0.136,0.102,0.068
-1.1080000e-07,0.14,0.108,0.066
-1.1040000e-07,0.142,0.11,0.066
-1.1000000e-07,0.142,0.114,0.066
-1.0960000e-07,0.146,0.116,0.066
-1.0920000e-07,0.148,0.114,0.064
-1.0880000e-07,0.15,0.114,0.064
-1.0840000e-07,0.15,0.12,0.066
-1.0800000e-07,0.148,0.12,0.064
-1.0760000e-07,0.15,0.116,0.062
-1.0720000e-07,0.15,0.12,0.066
-1.0680000e-07,0.148,0.116,0.066
-1.0640000e-07,0.148,0.118,0.066
-1.0600000e-07,0.146,0.114,0.066
-1.0560000e-07,0.146,0.116,0.068
-1.0520000e-07,0.142,0.114,0.068
-1.0480000e-07,0.136,0.112,0.066
-1.0440000e-07,0.134,0.108,0.068
-1.0400000e-07,0.136,0.106,0.068
-1.0360000e-07,0.134,0.104,0.068
-1.0320000e-07,0.136,0.102,0.068
-1.0280000e-07,0.138,0.102,0.064
-1.0240000e-07,0.138,0.104,0.066
-1.0200000e-07,0.14,0.104,0.068
-1.0160000e-07,0.136,0.106,0.068
-1.0120000e-07,0.138,0.104,0.068
-1.0080000e-07,0.142,0.11,0.068
-1.0040000e-07,0.144,0.112,0.068
-1.0000000e-07,0.146,0.112,0.064
-9.9600000e-08,0.144,0.116,0.068
-9.9200000e-08,0.144,0.112,0.066
-9.8800000e-08,0.148,0.11,0.066
-9.8400000e-08,0.148,0.114,0.066
-9.8000000e-08,0.146,0.116,0.064
-9.7600000e-08,0.15,0.116,0.068
-9.7200000e-08,0.148,0.116,0.068
-9.6800000e-08,0.146,0.118,0.068
-9.6400000e-08,0.146,0.116,0.068
-9.6000000e-08,0.144,0.114,0.068
-9.5600000e-08,0.138,0.114,0.068
-9.5200000e-08,0.138,0.112,0.07
-9.4800000e-08,0.136,0.106,0.068
-9.4400000e-08,0.136,0.106,0.068
-9.4000000e-08,0.134,0.102,0.068
-9.3600000e-08,0.136,0.106,0.068
-9.3200000e-08,0.134,0.106,0.068
-9.2800000e-08,0.136,0.106,0.066
-9.2400000e-08,0.136,0.102,0.066
-9.2000000e-08,0.136,0.106,0.068
-9.1600000e-08,0.138,0.106,0.068
-9.1200000e-08,0.144,0.11,0.068
-9.0800000e-08,0.142,0.108,0.066
-9.0400000e-08,0.146,0.11,0.066
-9.0000000e-08,0.144,0.112,0.068
-8.9600000e-08,0.148,0.112,0.068
-8.9200000e-08,0.148,0.112,0.068
-8.8800000e-08,0.15,0.112,0.068
-8.8400000e-08,0.15,0.11,0.066
-8.8000000e-08,0.15,0.112,0.066
-8.7600000e-08,0.148,0.11,0.064
-8.7200000e-08,0.146,0.114,0.066
-8.6800000e-08,0.146,0.114,0.068
-8.6400000e-08,0.144,0.114,0.068
-8.6000000e-08,0.144,0.108,0.068
-8.5600000e-08,0.14,0.108,0.068
-8.5200000e-08,0.138,0.106,0.068
-8.4800000e-08,0.136,0.108,0.07
-8.4400000e-08,0.138,0.106,0.068
-8.4000000e-08,0.14,0.106,0.072
-8.3600000e-08,0.138,0.106,0.072
-8.3200000e-08,0.136,0.104,0.068
-8.2800000e-08,0.138,0.104,0.066
-8.2400000e-08,0.136,0.108,0.068
-8.2000000e-08,0.136,0.108,0.07
-8.1600000e-08,0.14,0.108,0.072
-8.1200000e-08,0.142,0.108,0.066
-8.0800000e-08,0.144,0.108,0.068
-8.0400000e-08,0.148,0.108,0.07
-8.0000000e-08,0.15,0.106,0.068
-7.9600000e-08,0.148,0.106,0.068
-7.9200000e-08,0.15,0.112,0.068
-7.8800000e-08,0.152,0.112,0.068
-7.8400000e-08,0.152,0.112,0.068
-7.8000000e-08,0.148,0.11,0.064
-7.7600000e-08,0.148,0.108,0.064
-7.7200000e-08,0.146,0.106,0.068
-7.6800000e-08,0.144,0.104,0.068
-7.6400000e-08,0.146,0.104,0.066
-7.6000000e-08,0.148,0.104,0.068
-7.5600000e-08,0.146,0.104,0.068
-7.5200000e-08,0.142,0.104,0.068
-7.4800000e-08,0.14,0.098,0.068
-7.4400000e-08,0.138,0.102,0.068
-7.4000000e-08,0.134,0.1,0.068
-7.3600000e-08,0.134,0.102,0.07
-7.3200000e-08,0.136,0.104,0.07
-7.2800000e-08,0.138,0.104,0.068
-7.2400000e-08,0.142,0.108,0.07
-7.2000000e-08,0.142,0.114,0.068
-7.1600000e-08,0.146,0.112,0.068
-7.1200000e-08,0.144,0.112,0.068
-7.0800000e-08,0.148,0.112,0.066
-7.0400000e-08,0.152,0.112,0.068
-7.0000000e-08,0.154,0.11,0.066
-6.9600000e-08,0.152,0.108,0.064
-6.9200000e-08,0.152,0.11,0.064
-6.8800000e-08,0.152,0.11,0.064
-6.8400000e-08,0.152,0.11,0.062
-6.8000000e-08,0.152,0.11,0.064
-6.7600000e-08,0.148,0.106,0.066
-6.7200000e-08,0.15,0.106,0.062
-6.6800000e-08,0.148,0.104,0.062
-6.6400000e-08,0.144,0.104,0.064
-6.6000000e-08,0.14,0.102,0.062
-6.5600000e-08,0.14,0.102,0.062
-6.5200000e-08,0.14,0.102,0.064
-6.4800000e-08,0.138,0.1,0.066
-6.4400000e-08,0.136,0.098,0.064
-6.4000000e-08,0.134,0.102,0.064
-6.3600000e-08,0.136,0.102,0.064
-6.3200000e-08,0.138,0.108,0.062
-6.2800000e-08,0.136,0.106,0.064
-6.2400000e-08,0.138,0.11,0.066
-6.2000000e-08,0.138,0.11,0.066
-6.1600000e-08,0.144,0.108,0.066
-6.1200000e-08,0.144,0.112,0.062
-6.0800000e-08,0.148,0.116,0.062
-6.0400000e-08,0.148,0.116,0.062
-6.0000000e-08,0.152,0.112,0.06
-5.9600000e-08,0.148,0.11,0.06
-5.9200000e-08,0.15,0.11,0.06
-5.8800000e-08,0.152,0.11,0.062
-5.8400000e-08,0.148,0.112,0.064
-5.8000000e-08,0.146,0.108,0.06
-5.7600000e-08,0.146,0.106,0.058
-5.7200000e-08,0.148,0.104,0.058
-5.6800000e-08,0.148,0.104,0.058
-5.6400000e-08,0.146,0.104,0.056
-5.6000000e-08,0.144,0.102,0.058
-5.5600000e-08,0.144,0.1,0.064
-5.5200000e-08,0.142,0.1,0.06
-5.4800000e-08,0.138,0.1,0.058
-5.4400000e-08,0.136,0.1,0.06
-5.4000000e-08,0.136,0.102,0.062
-5.3600000e-08,0.134,0.102,0.058
-5.3200000e-08,0.134,0.106,0.058
-5.2800000e-08,0.134,0.106,0.06
-5.2400000e-08,0.134,0.106,0.058
-5.2000000e-08,0.136,0.11,0.06
-5.1600000e-08,0.138,0.112,0.058
-5.1200000e-08,0.142,0.114,0.06
-5.0800000e-08,0.144,0.116,0.058
-5.0400000e-08,0.144,0.114,0.058
-5.0000000e-08,0.146,0.114,0.058
-4.9600000e-08,0.148,0.112,0.058
-4.9200000e-08,0.148,0.114,0.058
-4.8800000e-08,0.148,0.112,0.054
-4.8400000e-08,0.15,0.108,0.058
-4.8000000e-08,0.148,0.106,0.054
-4.7600000e-08,0.148,0.104,0.056
-4.7200000e-08,0.15,0.106,0.058
-4.6800000e-08,0.15,0.102,0.058
-4.6400000e-08,0.148,0.1,0.056
-4.6000000e-08,0.144,0.1,0.054
-4.5600000e-08,0.144,0.1,0.054
-4.5200000e-08,0.14,0.096,0.06
-4.4800000e-08,0.138,0.096,0.056
-4.4400000e-08,0.14,0.098,0.06
-4.4000000e-08,0.138,0.1,0.058
-4.3600000e-08,0.138,0.102,0.058
-4.3200000e-08,0.138,0.102,0.06
-4.2800000e-08,0.138,0.1,0.058
-4.2400000e-08,0.138,0.1,0.056
-4.2000000e-08,0.14,0.102,0.054
-4.1600000e-08,0.142,0.102,0.056
-4.1200000e-08,0.142,0.106,0.058
-4.0800000e-08,0.142,0.108,0.058
-4.0400000e-08,0.144,0.106,0.058
-4.0000000e-08,0.146,0.11,0.056
-3.9600000e-08,0.15,0.11,0.056
-3.9200000e-08,0.148,0.11,0.058
-3.8800000e-08,0.148,0.114,0.052
-3.8400000e-08,0.15,0.112,0.052
-3.8000000e-08,0.15,0.11,0.054
-3.7600000e-08,0.15,0.106,0.054
-3.7200000e-08,0.148,0.108,0.054
-3.6800000e-08,0.146,0.106,0.056
-3.6400000e-08,0.146,0.102,0.06
-3.6000000e-08,0.142,0.098,0.056
-3.5600000e-08,0.14,0.098,0.056
-3.5200000e-08,0.14,0.1,0.054
-3.4800000e-08,0.14,0.096,0.054
-3.4400000e-08,0.14,0.1,0.054
-3.4000000e-08,0.138,0.098,0.058
-3.3600000e-08,0.138,0.1,0.058
-3.3200000e-08,0.138,0.102,0.056
-3.2800000e-08,0.138,0.102,0.058
-3.2400000e-08,0.134,0.1,0.058
-3.2000000e-08,0.134,0.1,0.058
-3.1600000e-08,0.138,0.1,0.06
-3.1200000e-08,0.14,0.104,0.058
-3.0800000e-08,0.138,0.106,0.056
-3.0400000e-08,0.14,0.106,0.058
-3.0000000e-08,0.14,0.108,0.058
-2.9600000e-08,0.14,0.108,0.058
-2.9200000e-08,0.138,0.11,0.054
-2.8800000e-08,0.14,0.106,0.054
-2.8400000e-08,0.144,0.106,0.056
-2.8000000e-08,0.142,0.106,0.054
-2.7600000e-08,0.142,0.108,0.056
-2.7200000e-08,0.14,0.106,0.058
-2.6800000e-08,0.138,0.102,0.056
-2.6400000e-08,0.138,0.104,0.056
-2.6000000e-08,0.136,0.102,0.056
-2.5600000e-08,0.136,0.102,0.058
-2.5200000e-08,0.136,0.102,0.06
-2.4800000e-08,0.136,0.104,0.06
-2.4400000e-08,0.136,0.102,0.058
-2.4000000e-08,0.134,0.098,0.058
-2.3600000e-08,0.136,0.096,0.058
-2.3200000e-08,0.136,0.096,0.06
-2.2800000e-08,0.134,0.096,0.058
-2.2400000e-08,0.136,0.098,0.058
-2.2000000e-08,0.138,0.1,0.058
-2.1600000e-08,0.134,0.1,0.058
-2.1200000e-08,0.134,0.1,0.056
-2.0800000e-08,0.136,0.1,0.056
-2.0400000e-08,0.132,0.102,0.058
-2.0000000e-08,0.136,0.104,0.058
-1.9600000e-08,0.138,0.102,0.058
-1.9200000e-08,0.14,0.102,0.056
-1.8800000e-08,0.144,0.104,0.052
-1.8400000e-08,0.146,0.104,0.056
-1.8000000e-08,0.144,0.106,0.056
-1.7600000e-08,0.144,0.106,0.058
-1.7200000e-08,0.144,0.106,0.06
-1.6800000e-08,0.146,0.108,0.058
-1.6400000e-08,0.146,0.106,0.056
-1.6000000e-08,0.148,0.106,0.056
-1.5600000e-08,0.144,0.104,0.056
-1.5200000e-08,0.148,0.106,0.058
-1.4800000e-08,0.15,0.102,0.058
-1.4400000e-08,0.148,0.106,0.06
-1.4000000e-08,0.144,0.102,0.058
-1.3600000e-08,0.144,0.1,0.058
-1.3200000e-08,0.144,0.096,0.058
-1.2800000e-08,0.144,0.096,0.058
-1.2400000e-08,0.144,0.094,0.06
-1.2000000e-08,0.148,0.096,0.06
-1.1600000e-08,0.148,0.096,0.062
-1.1200000e-08,0.15,0.096,0.062
-1.0800000e-08,0.15,0.096,0.062
-1.0400000e-08,0.152,0.096,0.06
-1.0000000e-08,0.156,0.096,0.058
-9.6000000e-09,0.166,0.098,0.058
-9.2000000e-09,0.164,0.102,0.058
-8.8000000e-09,0.17,0.104,0.058
-8.4000000e-09,0.172,0.106,0.058
-8.0000000e-09,0.178,0.104,0.058
-7.6000000e-09,0.184,0.102,0.058
-7.2000000e-09,0.194,0.106,0.056
-6.8000000e-09,0.196,0.108,0.058
-6.4000000e-09,0.198,0.11,0.06
-6.0000000e-09,0.204,0.108,0.058
-5.6000000e-09,0.21,0.108,0.056
-5.2000000e-09,0.214,0.108,0.056
-4.8000000e-09,0.218,0.11,0.062
-4.4000000e-09,0.222,0.108,0.062
-4.0000000e-09,0.224,0.106,0.06
-3.6000000e-09,0.224,0.104,0.058
-3.2000000e-09,0.226,0.102,0.058
-2.8000000e-09,0.226,0.102,0.058
-2.4000000e-09,0.224,0.102,0.06
-2.0000000e-09,0.224,0.102,0.058
-1.6000000e-09,0.224,0.102,0.058
-1.2000000e-09,0.228,0.102,0.06
-8.0000000e-10,0.226,0.098,0.058
-4.0000000e-10,0.226,0.102,0.056
-7.3121732e-21,0.23,0.102,0.056
4.0000000e-10,0.23,0.104,0.054
8.0000000e-10,0.23,0.102,0.056
1.2000000e-09,0.228,0.106,0.056
1.6000000e-09,0.23,0.108,0.054
2.0000000e-09,0.23,0.106,0.054
2.4000000e-09,0.23,0.112,0.058
2.8000000e-09,0.23,0.112,0.058
3.2000000e-09,0.23,0.116,0.058
3.6000000e-09,0.226,0.118,0.058
4.0000000e-09,0.224,0.12,0.058
4.4000000e-09,0.228,0.12,0.056
4.8000000e-09,0.228,0.116,0.058
5.2000000e-09,0.226,0.112,0.056
5.6000000e-09,0.226,0.112,0.058
6.0000000e-09,0.224,0.114,0.056
6.4000000e-09,0.22,0.112,0.056
6.8000000e-09,0.22,0.11,0.056
7.2000000e-09,0.22,0.114,0.058
7.6000000e-09,0.222,0.112,0.058
8.0000000e-09,0.218,0.116,0.062
8.4000000e-09,0.218,0.116,0.06
8.8000000e-09,0.22,0.116,0.052
9.2000000e-09,0.218,0.116,0.054
9.6000000e-09,0.218,0.112,0.056
1.0000000e-08,0.216,0.116,0.056
1.0400000e-08,0.218,0.118,0.054
1.0800000e-08,0.212,0.122,0.054
1.1200000e-08,0.214,0.126,0.058
1.1600000e-08,0.214,0.126,0.058
1.2000000e-08,0.214,0.134,0.054
1.2400000e-08,0.214,0.132,0.058
1.2800000e-08,0.214,0.134,0.056
1.3200000e-08,0.21,0.14,0.054
1.3600000e-08,0.208,0.138,0.058
1.4000000e-08,0.208,0.14,0.058
1.4400000e-08,0.208,0.138,0.056
1.4800000e-08,0.208,0.138,0.058
1.5200000e-08,0.21,0.14,0.058
1.5600000e-08,0.202,0.14,0.058
1.6000000e-08,0.202,0.14,0.058
1.6400000e-08,0.202,0.138,0.058
1.6800000e-08,0.2,0.136,0.06
1.7200000e-08,0.2,0.138,0.058
1.7600000e-08,0.204,0.134,0.06
1.8000000e-08,0.202,0.132,0.06
1.8400000e-08,0.2,0.138,0.058
1.8800000e-08,0.202,0.138,0.058
1.9200000e-08,0.202,0.134,0.058
1.9600000e-08,0.2,0.134,0.06
2.0000000e-08,0.202,0.138,0.058
2.0400000e-08,0.204,0.144,0.06
2.0800000e-08,0.206,0.142,0.06
2.1200000e-08,0.204,0.144,0.06
2.1600000e-08,0.206,0.15,0.06
2.2000000e-08,0.206,0.152,0.062
2.2400000e-08,0.208,0.152,0.06
2.2800000e-08,0.208,0.152,0.058
2.3200000e-08,0.206,0.156,0.058
2.3600000e-08,0.206,0.158,0.062
2.4000000e-08,0.206,0.158,0.062
2.4400000e-08,0.204,0.158,0.062
2.4800000e-08,0.206,0.158,0.058
2.5200000e-08,0.204,0.156,0.06
2.5600000e-08,0.202,0.156,0.062
2.6000000e-08,0.204,0.154,0.064
2.6400000e-08,0.202,0.15,0.06
2.6800000e-08,0.2,0.152,0.058
2.7200000e-08,0.2,0.152,0.06
2.7600000e-08,0.198,0.148,0.06
2.8000000e-08,0.2,0.148,0.06
2.8400000e-08,0.202,0.15,0.058
2.8800000e-08,0.208,0.15,0.062
2.9200000e-08,0.206,0.152,0.064
2.9600000e-08,0.214,0.152,0.066
3.0000000e-08,0.212,0.154,0.062
3.0400000e-08,0.208,0.158,0.064
3.0800000e-08,0.21,0.162,0.062
3.1200000e-08,0.216,0.166,0.064
3.1600000e-08,0.214,0.166,0.064
3.2000000e-08,0.212,0.17,0.062
3.2400000e-08,0.214,0.17,0.064
3.2800000e-08,0.212,0.174,0.058
3.3200000e-08,0.206,0.174,0.064
3.3600000e-08,0.208,0.172,0.062
3.4000000e-08,0.208,0.172,0.064
3.4400000e-08,0.212,0.17,0.066
3.4800000e-08,0.206,0.168,0.064
3.5200000e-08,0.206,0.17,0.064
3.5600000e-08,0.204,0.17,0.062
3.6000000e-08,0.2,0.17,0.066
3.6400000e-08,0.2,0.164,0.064
3.6800000e-08,0.204,0.164,0.066
3.7200000e-08,0.204,0.164,0.068
3.7600000e-08,0.204,0.164,0.068
3.8000000e-08,0.204,0.162,0.068
3.8400000e-08,0.206,0.162,0.066
3.8800000e-08,0.208,0.162,0.062
3.9200000e-08,0.208,0.166,0.064
3.9600000e-08,0.21,0.168,0.064
4.0000000e-08,0.212,0.172,0.064
4.0400000e-08,0.212,0.176,0.068
4.0800000e-08,0.218,0.178,0.066
4.1200000e-08,0.218,0.18,0.064
4.1600000e-08,0.216,0.18,0.064
4.2000000e-08,0.216,0.182,0.066
4.2400000e-08,0.214,0.18,0.068
4.2800000e-08,0.214,0.18,0.068
4.3200000e-08,0.212,0.18,0.068
4.3600000e-08,0.214,0.182,0.068
4.4000000e-08,0.21,0.18,0.07
4.4400000e-08,0.21,0.176,0.07
4.4800000e-08,0.208,0.172,0.068
4.5200000e-08,0.204,0.172,0.07
4.5600000e-08,0.202,0.17,0.068
4.6000000e-08,0.202,0.168,0.07
4.6400000e-08,0.202,0.166,0.068
4.6800000e-08,0.204,0.164,0.07
4.7200000e-08,0.202,0.166,0.068
4.7600000e-08,0.206,0.162,0.068
4.8000000e-08,0.206,0.164,0.068
4.8400000e-08,0.206,0.164,0.068
4.8800000e-08,0.21,0.166,0.07
4.9200000e-08,0.212,0.166,0.07
4.9600000e-08,0.212,0.166,0.072
5.0000000e-08,0.214,0.17,0.07
