Model,DPO3034
Firmware Version,2.16

Point Format,Y,,
Horizontal Units,S,,
Horizontal Scale,0.0002,,
Sample Interval,4e-10,,
Record Length,5e+06,,
Gating,49.0% to 51.00%,49.0% to 51.00%,49.0% to 51.00%
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.02,0.02,0.02
Label,,,
TIME,CH1,CH2,CH3
2.5290040e-04,0.0744,0.0496,0.0272
2.5290080e-04,0.0744,0.0488,0.0288
2.5290120e-04,0.0728,0.0456,0.0288
2.5290160e-04,0.0696,0.0448,0.028
2.5290200e-04,0.0672,0.044,0.0272
2.5290240e-04,0.0648,0.0448,0.028
2.5290280e-04,0.0632,0.0456,0.028
2.5290320e-04,0.0616,0.0464,0.0264
2.5290360e-04,0.0592,0.048,0.0272
2.5290400e-04,0.0576,0.0488,0.0272
2.5290440e-04,0.056,0.0512,0.0272
2.5290480e-04,0.0544,0.0528,0.0272
2.5290520e-04,0.0552,0.0536,0.0272
2.5290560e-04,0.0576,0.0552,0.0272
2.5290600e-04,0.0584,0.0544,0.0272
2.5290640e-04,0.0608,0.0552,0.0264
2.5290680e-04,0.0624,0.0544,0.028
2.5290720e-04,0.0632,0.0536,0.0272
2.5290760e-04,0.0664,0.0528,0.028
2.5290800e-04,0.0704,0.0512,0.0272
2.5290840e-04,0.0712,0.0504,0.0264
2.5290880e-04,0.0736,0.0512,0.0264
2.5290920e-04,0.0752,0.0488,0.0272
2.5290960e-04,0.0776,0.0472,0.0256
2.5291000e-04,0.0792,0.0464,0.0248
2.5291040e-04,0.08,0.044,0.024
2.5291080e-04,0.0808,0.0424,0.0256
2.5291120e-04,0.0808,0.0408,0.0248
2.5291160e-04,0.0808,0.0392,0.024
2.5291200e-04,0.08,0.036,0.0224
2.5291240e-04,0.0784,0.0352,0.0224
2.5291280e-04,0.0768,0.036,0.0216
2.5291320e-04,0.0744,0.0368,0.0208
2.5291360e-04,0.0744,0.0376,0.0192
2.5291400e-04,0.0728,0.0392,0.02
2.5291440e-04,0.0712,0.0408,0.02
2.5291480e-04,0.0704,0.0432,0.0216
2.5291520e-04,0.0704,0.0456,0.0216
2.5291560e-04,0.072,0.0456,0.02
2.5291600e-04,0.0728,0.0464,0.02
2.5291640e-04,0.0736,0.0488,0.0216
2.5291680e-04,0.0736,0.0504,0.0208
2.5291720e-04,0.0744,0.0528,0.02
2.5291760e-04,0.0752,0.0536,0.02
2.5291800e-04,0.0752,0.0552,0.02
2.5291840e-04,0.0768,0.0592,0.0184
2.5291880e-04,0.0768,0.0592,0.0192
2.5291920e-04,0.0768,0.0616,0.02
2.5291960e-04,0.0784,0.0608,0.0208
2.5292000e-04,0.0784,0.06,0.02
2.5292040e-04,0.0792,0.0592,0.0208
2.5292080e-04,0.0784,0.0584,0.02
2.5292120e-04,0.0768,0.056,0.02
2.5292160e-04,0.076,0.0552,0.02
2.5292200e-04,0.0744,0.0536,0.02
2.5292240e-04,0.0712,0.052,0.0216
2.5292280e-04,0.0696,0.052,0.0208
2.5292320e-04,0.0664,0.0512,0.0232
2.5292360e-04,0.064,0.052,0.0216
2.5292400e-04,0.0624,0.052,0.0208
2.5292440e-04,0.06,0.052,0.0216
2.5292480e-04,0.0592,0.0512,0.024
2.5292520e-04,0.0592,0.0512,0.0224
2.5292560e-04,0.0584,0.0496,0.0216
2.5292600e-04,0.0584,0.048,0.0216
2.5292640e-04,0.0576,0.048,0.02
2.5292680e-04,0.0584,0.0496,0.0208
2.5292720e-04,0.0576,0.0504,0.0208
2.5292760e-04,0.0584,0.0512,0.0208
2.5292800e-04,0.0608,0.0528,0.0216
2.5292840e-04,0.0616,0.0544,0.0216
2.5292880e-04,0.0616,0.0552,0.0216
2.5292920e-04,0.064,0.0552,0.0216
2.5292960e-04,0.0664,0.056,0.0216
2.5293000e-04,0.068,0.0536,0.0232
2.5293040e-04,0.0672,0.0536,0.0232
2.5293080e-04,0.068,0.0528,0.024
2.5293120e-04,0.068,0.0496,0.024
2.5293160e-04,0.0664,0.048,0.0248
2.5293200e-04,0.0672,0.0472,0.0256
2.5293240e-04,0.0648,0.0472,0.0256
2.5293280e-04,0.0632,0.0464,0.0264
2.5293320e-04,0.0624,0.0464,0.028
2.5293360e-04,0.0608,0.0472,0.028
2.5293400e-04,0.0592,0.0456,0.0272
2.5293440e-04,0.0608,0.0448,0.0272
2.5293480e-04,0.06,0.0424,0.0272
2.5293520e-04,0.0608,0.0424,0.0272
2.5293560e-04,0.06,0.0416,0.028
2.5293600e-04,0.06,0.04,0.0272
2.5293640e-04,0.06,0.0392,0.0264
2.5293680e-04,0.0616,0.04,0.0272
2.5293720e-04,0.0616,0.0408,0.0272
2.5293760e-04,0.0624,0.0424,0.0272
2.5293800e-04,0.0632,0.0448,0.028
2.5293840e-04,0.064,0.048,0.0272
2.5293880e-04,0.0672,0.0496,0.0272
2.5293920e-04,0.068,0.0496,0.0272
2.5293960e-04,0.0704,0.0496,0.0272
2.5294000e-04,0.072,0.0488,0.0272
2.5294040e-04,0.0728,0.0472,0.0272
2.5294080e-04,0.0744,0.048,0.0272
2.5294120e-04,0.0728,0.0488,0.028
2.5294160e-04,0.072,0.0504,0.0288
2.5294200e-04,0.0712,0.0496,0.0288
2.5294240e-04,0.0704,0.0504,0.0296
2.5294280e-04,0.0704,0.0504,0.0296
2.5294320e-04,0.0696,0.0504,0.0296
2.5294360e-04,0.0704,0.0496,0.0296
2.5294400e-04,0.0704,0.0496,0.0296
2.5294440e-04,0.0696,0.048,0.0312
2.5294480e-04,0.0712,0.0456,0.0312
2.5294520e-04,0.0696,0.0448,0.0296
2.5294560e-04,0.0704,0.044,0.0288
2.5294600e-04,0.0712,0.0432,0.0304
2.5294640e-04,0.072,0.0432,0.0304
2.5294680e-04,0.072,0.044,0.0296
2.5294720e-04,0.072,0.0448,0.0312
2.5294760e-04,0.0728,0.0448,0.032
2.5294800e-04,0.0736,0.0472,0.0304
2.5294840e-04,0.0736,0.048,0.0304
2.5294880e-04,0.076,0.0488,0.0328
2.5294920e-04,0.0776,0.048,0.0328
2.5294960e-04,0.0784,0.048,0.0336
2.5295000e-04,0.0784,0.048,0.0336
2.5295040e-04,0.0792,0.048,0.0336
2.5295080e-04,0.0784,0.048,0.0336
