Tiempo (s),Setpoint (K),Sensor 1 (K),Sensor 2 (K),dT/dt 1 (K/min),dT/dt 2 (K/Min),Potencia (W),Voltaje A (V),Voltaje B (V),Corriente (A),Resistencia A (Ohm),Resistencia B (Ohm)
61.1298828,299.0040552,303.8470000,27.1610000,1.0278545,5.4476286,0.0000000,0.1001170,0.0000938,NaN,1067.1565586,NaN
62.2910156,299.0089624,303.9520000,27.1550000,-2.5696361,5.3191468,0.0000000,0.1001030,0.0000938,NaN,1067.4465226,NaN
63.4619141,299.0137842,304.0470000,27.1910000,-4.4514238,5.2795956,0.0000000,0.1001100,0.0000941,NaN,1064.3534619,NaN
64.6250000,299.0186222,304.1260000,27.1200000,0.7718593,5.1457286,0.0000000,0.1001300,0.0000942,NaN,1063.2231813,NaN
65.7783203,299.0235010,304.2140000,27.0880000,-0.8997490,4.4730377,0.0000000,0.1001240,0.0000942,NaN,1062.9043987,NaN
66.9345703,299.0283472,304.3160000,27.1520000,-2.6679258,4.3256661,0.0000000,0.1000980,0.0000942,NaN,1063.0944845,NaN
68.0996094,299.0331527,304.4060000,27.2270000,0.8313235,4.9359831,0.0000000,0.1001090,0.0000942,NaN,1062.6481444,NaN
69.2548828,299.0379704,304.5050000,27.1710000,3.5928313,4.9627598,0.0000000,0.1001230,0.0000943,NaN,1062.1507165,NaN
70.4160156,299.0428247,304.6110000,27.1910000,0.4913131,4.8872727,0.0000000,0.1001040,0.0000942,NaN,1062.1835329,NaN
71.5781250,299.0476383,304.6950000,27.0120000,-0.9324789,5.3099494,0.0000000,0.1001150,0.0000944,NaN,1060.1045333,NaN
72.7568359,299.0524764,304.7690000,27.1190000,-4.1063304,4.9069357,0.0000000,0.1001290,0.0000944,NaN,1060.7469903,NaN
73.9199219,299.0573185,304.8430000,27.0630000,-1.8455069,4.0498623,0.0000000,0.1001140,0.0000944,NaN,1060.7195568,NaN
75.0791016,299.0622298,304.9120000,27.0560000,1.3066889,3.7919600,0.0000000,0.1001150,0.0000945,NaN,1059.5065619,NaN
76.2470703,299.0670760,304.9730000,27.2890000,-1.6277208,3.6946678,0.0000000,0.1001280,0.0000945,NaN,1059.2473090,NaN
77.4189453,299.0719059,305.0240000,27.1590000,5.8268737,3.3517415,0.0000000,0.1001040,0.0000945,NaN,1059.6929448,NaN
78.5839844,299.0767725,305.0810000,27.0210000,2.6412020,2.8719866,0.0000000,0.1000990,0.0000947,NaN,1057.4013021,NaN
79.7548828,299.0816553,305.1290000,27.0620000,-6.8808692,2.7728876,0.0000000,0.1001250,0.0000946,NaN,1058.8918360,NaN
80.9218750,299.0865096,305.1810000,27.1290000,-2.4915050,2.6969900,0.0000000,0.1001060,0.0000946,NaN,1057.7098837,NaN
82.1132812,299.0913883,305.2290000,27.1770000,2.7717293,2.5664160,0.0000000,0.1001100,0.0000947,NaN,1056.8777818,NaN
83.2851562,299.0962508,305.2700000,27.1200000,2.9257143,2.5440994,0.0000000,0.1000930,0.0000947,NaN,1057.3423885,NaN
84.4570312,299.1012150,305.3140000,27.3340000,-0.2284959,2.2595702,0.0000000,0.1000910,0.0000947,NaN,1056.6359219,NaN
85.6259766,299.1060978,305.3530000,27.1170000,4.0192000,2.1760000,0.0000000,0.1001190,0.0000949,NaN,1055.3316812,NaN
