Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,2,
Sample Interval,0.02,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,0.2
Label,,
TIME,CH1,CH2
5.720e+00,3.78,0.828
5.740e+00,3.82,0.82
5.760e+00,3.78,0.804
5.780e+00,3.74,0.828
5.800e+00,3.74,0.828
5.820e+00,3.78,0.788
5.840e+00,3.7,0.804
5.860e+00,3.7,0.804
5.880e+00,3.74,0.796
5.900e+00,3.7,0.796
5.920e+00,3.7,0.772
5.940e+00,3.58,0.772
5.960e+00,3.58,0.756
5.980e+00,3.54,0.748
6.000e+00,3.58,0.748
6.020e+00,3.46,0.756
6.040e+00,3.42,0.732
6.060e+00,3.46,0.74
6.080e+00,3.42,0.7
6.100e+00,3.42,0.724
6.120e+00,3.46,0.724
6.140e+00,3.38,0.7
6.160e+00,3.34,0.684
6.180e+00,3.3,0.7
6.200e+00,3.3,0.684
6.220e+00,3.3,0.684
6.240e+00,3.18,0.684
6.260e+00,3.14,0.676
6.280e+00,3.18,0.668
6.300e+00,3.1,0.652
6.320e+00,3.06,0.652
6.340e+00,3.14,0.644
6.360e+00,3.1,0.62
6.380e+00,3.06,0.628
6.400e+00,2.98,0.644
6.420e+00,2.98,0.612
6.440e+00,2.86,0.596
6.460e+00,2.86,0.612
6.480e+00,2.9,0.596
6.500e+00,2.86,0.572
6.520e+00,2.86,0.596
6.540e+00,2.78,0.556
6.560e+00,2.74,0.58
6.580e+00,2.74,0.564
6.600e+00,2.7,0.532
6.620e+00,2.7,0.556
6.640e+00,2.66,0.556
6.660e+00,2.62,0.532
6.680e+00,2.58,0.54
6.700e+00,2.58,0.516
6.720e+00,2.5,0.508
6.740e+00,2.54,0.524
6.760e+00,2.5,0.492
6.780e+00,2.46,0.492
6.800e+00,2.42,0.5
6.820e+00,2.34,0.484
