Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,1e-06
Sample Interval,1e-08
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Label,
TIME,CH2
2.850e-06,0.03
2.860e-06,0.03
2.870e-06,0.05
2.880e-06,0.05
2.890e-06,0.01
2.900e-06,0.03
2.910e-06,0.03
2.920e-06,0.03
2.930e-06,0.03
2.940e-06,0.03
2.950e-06,-0.01
2.960e-06,0.03
2.970e-06,0.03
2.980e-06,0.05
2.990e-06,0.05
3.000e-06,0.05
3.010e-06,0.03
3.020e-06,0.05
3.030e-06,0.05
3.040e-06,0.05
3.050e-06,0.03
3.060e-06,0.03
3.070e-06,0.03
3.080e-06,0.05
3.090e-06,0.05
3.100e-06,0.01
3.110e-06,-0.03
3.120e-06,-0.01
3.130e-06,0.03
3.140e-06,0.01
3.150e-06,0.01
3.160e-06,0.01
3.170e-06,0.01
3.180e-06,-0.01
3.190e-06,0.03
3.200e-06,-0.01
3.210e-06,0.03
3.220e-06,0.03
3.230e-06,0.03
3.240e-06,0.01
3.250e-06,0.05
3.260e-06,0.03
3.270e-06,0.03
3.280e-06,0.01
3.290e-06,0.03
3.300e-06,-0.03
3.310e-06,0.01
3.320e-06,0.03
3.330e-06,0.03
3.340e-06,0.05
3.350e-06,0.01
3.360e-06,0.01
3.370e-06,-0.01
3.380e-06,0.03
3.390e-06,0.01
3.400e-06,0.03
3.410e-06,0.03
3.420e-06,0.03
3.430e-06,0.03
3.440e-06,0.03
3.450e-06,0.05
3.460e-06,0.03
3.470e-06,0.03
3.480e-06,0.03
3.490e-06,0.01
3.500e-06,0.01
3.510e-06,0.05
3.520e-06,0.01
3.530e-06,0.03
3.540e-06,-0.01
3.550e-06,0.01
3.560e-06,0.05
3.570e-06,0.05
3.580e-06,0.03
3.590e-06,0.01
3.600e-06,0.03
3.610e-06,0.03
3.620e-06,0.07
3.630e-06,0.01
3.640e-06,0.03
3.650e-06,0.03
3.660e-06,0.03
3.670e-06,0.05
3.680e-06,0.03
3.690e-06,0.05
3.700e-06,0.03
3.710e-06,0.01
3.720e-06,0.03
3.730e-06,-0.01
3.740e-06,0.01
3.750e-06,0.01
3.760e-06,0.03
3.770e-06,0.03
3.780e-06,0.03
3.790e-06,0.03
3.800e-06,-0.01
3.810e-06,0.03
3.820e-06,0.03
3.830e-06,0.05
3.840e-06,0.05
3.850e-06,0.07
3.860e-06,0.05
3.870e-06,0.07
3.880e-06,0.03
3.890e-06,0.03
3.900e-06,0.03
3.910e-06,0.03
3.920e-06,0.03
3.930e-06,0.03
3.940e-06,0.01
3.950e-06,0.03
3.960e-06,0.05
3.970e-06,0.03
3.980e-06,0.03
3.990e-06,0.03
4.000e-06,0.03
4.010e-06,0.01
4.020e-06,0.01
4.030e-06,-0.01
4.040e-06,0.03
4.050e-06,0.03
4.060e-06,0.05
4.070e-06,0.01
4.080e-06,0.07
4.090e-06,0.03
4.100e-06,0.01
