Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,1e-06
Sample Interval,1e-08
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH2
1.840e-06,0.124
1.850e-06,0.128
1.860e-06,0.128
1.870e-06,0.116
1.880e-06,0.116
1.890e-06,0.12
1.900e-06,0.128
1.910e-06,0.128
1.920e-06,0.128
1.930e-06,0.12
1.940e-06,0.108
1.950e-06,0.108
1.960e-06,0.112
1.970e-06,0.112
1.980e-06,0.104
1.990e-06,0.104
2.000e-06,0.108
2.010e-06,0.1
2.020e-06,0.096
2.030e-06,0.104
2.040e-06,0.108
2.050e-06,0.108
2.060e-06,0.116
2.070e-06,0.112
2.080e-06,0.112
2.090e-06,0.124
2.100e-06,0.116
2.110e-06,0.116
2.120e-06,0.096
2.130e-06,0.096
2.140e-06,0.096
2.150e-06,0.104
2.160e-06,0.108
2.170e-06,0.104
2.180e-06,0.1
2.190e-06,0.104
2.200e-06,0.104
2.210e-06,0.1
2.220e-06,0.104
2.230e-06,0.104
2.240e-06,0.104
2.250e-06,0.104
2.260e-06,0.108
2.270e-06,0.108
2.280e-06,0.108
2.290e-06,0.112
2.300e-06,0.112
2.310e-06,0.116
2.320e-06,0.108
2.330e-06,0.108
2.340e-06,0.112
2.350e-06,0.108
2.360e-06,0.108
2.370e-06,0.108
2.380e-06,0.108
2.390e-06,0.096
2.400e-06,0.096
2.410e-06,0.084
2.420e-06,0.084
2.430e-06,0.096
2.440e-06,0.084
2.450e-06,0.092
2.460e-06,0.096
2.470e-06,0.084
2.480e-06,0.1
2.490e-06,0.112
2.500e-06,0.116
2.510e-06,0.116
2.520e-06,0.108
2.530e-06,0.112
2.540e-06,0.104
2.550e-06,0.092
2.560e-06,0.092
2.570e-06,0.088
2.580e-06,0.088
2.590e-06,0.08
2.600e-06,0.096
2.610e-06,0.096
2.620e-06,0.1
2.630e-06,0.092
2.640e-06,0.092
2.650e-06,0.084
2.660e-06,0.084
2.670e-06,0.084
2.680e-06,0.092
2.690e-06,0.092
2.700e-06,0.104
2.710e-06,0.104
2.720e-06,0.104
2.730e-06,0.104
2.740e-06,0.096
2.750e-06,0.1
2.760e-06,0.096
2.770e-06,0.092
2.780e-06,0.088
2.790e-06,0.088
2.800e-06,0.092
2.810e-06,0.084
2.820e-06,0.084
2.830e-06,0.08
2.840e-06,0.08
2.850e-06,0.084
2.860e-06,0.084
2.870e-06,0.092
2.880e-06,0.092
2.890e-06,0.092
2.900e-06,0.1
2.910e-06,0.1
2.920e-06,0.104
2.930e-06,0.108
2.940e-06,0.1
2.950e-06,0.108
2.960e-06,0.104
2.970e-06,0.096
2.980e-06,0.096
2.990e-06,0.084
3.000e-06,0.08
3.010e-06,0.08
3.020e-06,0.072
3.030e-06,0.084
3.040e-06,0.08
3.050e-06,0.08
3.060e-06,0.076
3.070e-06,0.084
3.080e-06,0.084
3.090e-06,0.084
3.100e-06,0.084
3.110e-06,0.088
3.120e-06,0.096
3.130e-06,0.096
3.140e-06,0.088
3.150e-06,0.088
3.160e-06,0.08
3.170e-06,0.08
3.180e-06,0.08
3.190e-06,0.076
3.200e-06,0.08
3.210e-06,0.092
3.220e-06,0.084
3.230e-06,0.076
3.240e-06,0.076
3.250e-06,0.084
3.260e-06,0.08
3.270e-06,0.08
3.280e-06,0.084
3.290e-06,0.084
3.300e-06,0.092
3.310e-06,0.088
3.320e-06,0.092
3.330e-06,0.092
3.340e-06,0.088
3.350e-06,0.092
3.360e-06,0.08
3.370e-06,0.088
3.380e-06,0.092
3.390e-06,0.088
3.400e-06,0.088
3.410e-06,0.084
3.420e-06,0.088
3.430e-06,0.092
3.440e-06,0.084
3.450e-06,0.08
3.460e-06,0.088
3.470e-06,0.088
3.480e-06,0.084
3.490e-06,0.096
3.500e-06,0.092
3.510e-06,0.1
3.520e-06,0.096
3.530e-06,0.096
3.540e-06,0.096
3.550e-06,0.096
3.560e-06,0.088
3.570e-06,0.096
3.580e-06,0.096
3.590e-06,0.096
3.600e-06,0.1
3.610e-06,0.108
3.620e-06,0.096
3.630e-06,0.096
3.640e-06,0.096
3.650e-06,0.088
3.660e-06,0.084
3.670e-06,0.084
3.680e-06,0.084
3.690e-06,0.088
3.700e-06,0.104
3.710e-06,0.096
3.720e-06,0.104
3.730e-06,0.096
3.740e-06,0.104
3.750e-06,0.112
3.760e-06,0.108
3.770e-06,0.104
3.780e-06,0.096
3.790e-06,0.1
3.800e-06,0.092
3.810e-06,0.092
3.820e-06,0.092
3.830e-06,0.084
3.840e-06,0.096
3.850e-06,0.096
3.860e-06,0.092
3.870e-06,0.092
3.880e-06,0.092
3.890e-06,0.092
3.900e-06,0.084
3.910e-06,0.088
3.920e-06,0.092
3.930e-06,0.092
3.940e-06,0.092
3.950e-06,0.088
3.960e-06,0.084
3.970e-06,0.092
3.980e-06,0.088
3.990e-06,0.084
4.000e-06,0.096
4.010e-06,0.092
4.020e-06,0.096
4.030e-06,0.104
4.040e-06,0.104
4.050e-06,0.1
4.060e-06,0.096
4.070e-06,0.096
4.080e-06,0.088
4.090e-06,0.092
