Model,DPO3034
Firmware Version,2.16

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4e-05,,,
Sample Interval,4e-10,,,
Record Length,1e+06,,,
Gating,48.749900% to 51.249900%,48.749900% to 51.249900%,48.749900% to 51.249900%,48.749900% to 51.249900%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.1,0.1,0.02,0.02
Label,,,,
TIME,CH1,CH2,CH3,CH4
4.60293572e-02,0.0138281,0.00934375,0.00586562,0.00415
4.60293576e-02,0.0124531,0.00971875,0.00619375,0.00422812
4.60293580e-02,0.0131094,0.0108594,0.0060875,0.0044
4.60293584e-02,0.0139531,0.0104531,0.00602812,0.00450625
4.60293588e-02,0.0132031,0.00978125,0.006025,0.00483438
4.60293592e-02,0.0126875,0.009375,0.00589062,0.00483125
4.60293596e-02,0.0130781,0.0115,0.0058125,0.0049875
4.60293600e-02,0.0137812,0.0104687,0.00595313,0.00513125
4.60293604e-02,0.0128594,0.0095,0.00586875,0.00525937
4.60293608e-02,0.0130469,0.0085,0.00587187,0.00558125
4.60293612e-02,0.0143437,0.00979687,0.0060625,0.00546563
4.60293616e-02,0.0142656,0.00973437,0.0061,0.00560313
4.60293620e-02,0.0134219,0.00854688,0.00609375,0.00560313
4.60293624e-02,0.0131875,0.00921875,0.00590937,0.00555625
4.60293628e-02,0.0136094,0.01025,0.0058375,0.00535937
4.60293632e-02,0.0136875,0.0096875,0.00600312,0.00533438
4.60293636e-02,0.0140312,0.00978125,0.00576875,0.00541875
4.60293640e-02,0.0146094,0.0104844,0.00566563,0.00507813
4.60293644e-02,0.0135938,0.00971875,0.00575312,0.00475312
4.60293648e-02,0.0131719,0.0103437,0.00574375,0.0047875
4.60293652e-02,0.0124375,0.00998437,0.00597188,0.00465938
4.60293656e-02,0.0123594,0.00942187,0.00597188,0.00470625
4.60293660e-02,0.0134531,0.00923437,0.00590625,0.00464687
4.60293664e-02,0.0143125,0.0108437,0.00571563,0.0046125
4.60293668e-02,0.0135,0.0112031,0.00610625,0.00440938
4.60293672e-02,0.0146875,0.0100625,0.00620313,0.00455625
4.60293676e-02,0.0139844,0.0100938,0.00619688,0.00467188
4.60293680e-02,0.0136094,0.0103125,0.00621875,0.00447812
4.60293684e-02,0.0140156,0.01,0.00605,0.00461875
4.60293688e-02,0.0147969,0.0109844,0.00590937,0.00473125
4.60293692e-02,0.01375,0.0109375,0.00620313,0.00492813
4.60293696e-02,0.0135312,0.0110469,0.0061625,0.00504375
4.60293700e-02,0.0136875,0.0104687,0.00567188,0.00505625
4.60293704e-02,0.0140938,0.00967187,0.00605,0.0054
4.60293708e-02,0.0138125,0.00873437,0.00611562,0.0056375
4.60293712e-02,0.0135781,0.00870312,0.00574687,0.00577812
4.60293716e-02,0.0119687,0.0104375,0.00590625,0.00569063
4.60293720e-02,0.0145469,0.0102812,0.00595938,0.00538437
4.60293724e-02,0.0141719,0.00932812,0.00573437,0.00542813
4.60293728e-02,0.0130781,0.0104844,0.00594688,0.005725
4.60293732e-02,0.0130312,0.0105469,0.0059375,0.00549687
4.60293736e-02,0.0131875,0.00975,0.00592813,0.00551562
4.60293740e-02,0.0139844,0.009,0.00603125,0.00548125
4.60293744e-02,0.0145156,0.00879687,0.00609063,0.00495625
4.60293748e-02,0.0139219,0.00984375,0.00589062,0.0049
4.60293752e-02,0.0148594,0.00934375,0.0059625,0.00481875
4.60293756e-02,0.0139531,0.0113906,0.0060125,0.00480313
4.60293760e-02,0.0136719,0.0107812,0.00595625,0.00455938
4.60293764e-02,0.0136562,0.0107656,0.00607188,0.00449375
4.60293768e-02,0.0133281,0.0112969,0.00599062,0.004425
4.60293772e-02,0.0123125,0.0109687,0.00612187,0.004575
4.60293776e-02,0.0121562,0.0110781,0.00589062,0.004625
4.60293780e-02,0.0135312,0.0095,0.00586875,0.00464687
4.60293784e-02,0.0136875,0.00914063,0.00575,0.00479375
4.60293788e-02,0.0132031,0.010375,0.00595625,0.00514375
4.60293792e-02,0.0146719,0.01075,0.0063875,0.00503125
4.60293796e-02,0.0133125,0.009375,0.00649687,0.00500625
4.60293800e-02,0.0129219,0.0108125,0.0065125,0.0053125
4.60293804e-02,0.0129687,0.0093125,0.00612187,0.00518125
4.60293808e-02,0.0133281,0.0100625,0.00618125,0.00530938
4.60293812e-02,0.0137188,0.0105312,0.00618125,0.00536562
4.60293816e-02,0.013375,0.0112187,0.0059875,0.0055125
4.60293820e-02,0.0120156,0.0111094,0.00612812,0.00550625
4.60293824e-02,0.0128281,0.012125,0.00593438,0.00544688
4.60293828e-02,0.0134531,0.0104219,0.00602812,0.00551562
4.60293832e-02,0.0125156,0.0105938,0.00594688,0.0054
4.60293836e-02,0.0119219,0.00984375,0.0058875,0.00549687
4.60293840e-02,0.0115156,0.0104844,0.0059125,0.00513437
4.60293844e-02,0.012625,0.01025,0.0061,0.00531563
4.60293848e-02,0.0131406,0.00965625,0.00595625,0.00532813
4.60293852e-02,0.0139844,0.00998437,0.00616562,0.00521875
4.60293856e-02,0.0131406,0.0109063,0.00611562,0.0048875
