#Pulsos	T-tor_ no puedo porque tienen diferente	002b	002c	002d	002e	002f	002g	002h	002i	delta02b/11684	delta02c/8818.2	delta02d/10250	delta02e/10030	delta02f/10155	delta02g/9355.1	delta02h/8967.2	delta2i/9164.5	S5_delta02b	S5_delta02c	S5_delta02d	S5_delta02e	S5_delta02f	S5_delta02g	S5_delta02h	S5_delta02i	AA	T_02b	T_02i	T_02c	T_02f	T_02d	T_02e	AH	AI	AJ
50.000		6812.2		7866.1	7360.3					-0.41696		-0.23257	-0.26617					-0.41136		-0.22382	-0.18052						13.158	17.468	32.208		133.53	488.86			
51.000		6706.9		8115.9	8573.1					-0.42597		-0.20820	-0.14526					-0.41056		-0.22909	-0.18518						13.379	17.483	32.361		136.25	498.92			
52.000		6869.9		7650.5	7992.0					-0.41203		-0.25361	-0.20319					-0.41129		-0.21844	-0.20195						13.599	17.498	32.515		138.97	508.97			
53.000		6882.8		8002.7	8279.0					-0.41092		-0.21925	-0.17458					-0.40299		-0.21022	-0.19278						13.819	17.513	32.669		141.69	519.03			
54.000		7120.9		8419.7	7817.7					-0.39054		-0.17856	-0.22057					-0.39606		-0.21107							14.040	17.529	32.823		144.41	529.08			
55.000		7296.8		8287.3	7820.3					-0.37548		-0.19148	-0.22031					-0.39675		-0.20373							14.260	17.544	32.977		147.13	539.13			
56.000		7111.6		8072.6						-0.39134		-0.21243						-0.39300		-0.20081							14.480	17.560	33.131		149.85	540.45			
57.000		6829.5		8026.7						-0.41548		-0.21690						-0.39224		-0.21982							14.700	17.575	33.285		152.57	541.77			
58.000		7102.1		8152.2						-0.39215		-0.20467								-0.22485							14.920	17.591	33.439		155.29	543.09			
59.000		7165.1		7445.5						-0.38676		-0.27361								-0.23770							15.141	17.607	33.593		158.01	544.41			
60.000		7419.4		8029.5						-0.36500		-0.21664								-0.24413							15.361	17.622	33.747		160.73	545.74			
61.000				7413.8								-0.27670								-0.25011							15.581	17.638	33.901		163.45	547.06			
62.000				7697.4								-0.24903								-0.24379							15.801	17.654	34.055		166.17	548.38			
63.000				7845.5								-0.23458								-0.24773							16.021	17.669	34.209		168.89	549.70			
64.000				7769.4								-0.24201								-0.24136							16.242	17.684	34.363		171.61	551.02			
65.000				7827.7								-0.23632								-0.24742							16.429	17.700	34.517		174.33	552.34			
66.000				7740.4								-0.24484								-0.24641							16.583	17.714	35.837		177.05	553.66			
67.000				7386.7								-0.27935								-0.25137							16.736	17.730	37.158		179.77	554.98			
68.000				7897.4								-0.22953								-0.25686							16.890	17.745	38.479		182.49	556.30			
69.000				7515.1								-0.26682								-0.25133							17.044	17.761	39.799		185.21	557.62			
70.000				7546.4								-0.26377								-0.24828							17.198	17.776	41.119		187.93	558.94			
71.000				8024.1								-0.21716								-0.25818							17.352	17.791	42.440		190.65	560.26			
72.000				7542.7								-0.26413								-0.24216							17.506	17.807	43.761		193.37	561.58			
73.000				7390.1								-0.27901								-0.24106							17.660	17.822	45.081		196.09	562.90			
74.000				8336.1								-0.18672								-0.24559							17.815	17.837	46.402		198.81	564.23			
75.000				7602.5								-0.25829								-0.25172							17.969	17.852	47.722		201.53	565.55			
76.000				7792.2								-0.23978								-0.24862							19.289	17.868	49.043		204.25	566.87			
77.000				7228.4								-0.29479								-0.25927							20.610	17.883	50.364		206.97	568.19			
78.000				7549.1								-0.26350								-0.25625							21.931	17.898	51.684		209.69	569.51			
79.000				7790.2								-0.23998								-0.26031							23.252	17.913			212.41	570.83			
80.000				7757.1								-0.24321								-0.25215							24.573	17.929			215.13	572.15			
81.000				7584.4								-0.26006								-0.24241							25.894	17.944			217.85	573.47			
82.000				7646.3								-0.25402								-0.24793							27.215	17.959			220.57	574.79			
83.000				8048.4								-0.21479								-0.24034							28.536	17.975			223.29	576.11			
84.000				7507.5								-0.26756								-0.23735							29.857	17.990			226.01	577.43			
85.000				8145.9								-0.20527								-0.24431							31.178	18.005			228.73	578.76			
86.000				7737.8								-0.24509								-0.25430							32.500	18.020			231.46	580.08			
87.000				7289.5								-0.28883								-0.24869							33.821	18.036			234.18	581.40			
88.000				7536.3								-0.26475								-0.26197							35.141	18.051			236.90	582.72			
89.000				7794.8								-0.23953								-0.26635							36.463	18.066			239.62	584.04			
90.000				7465.3								-0.27167								-0.26426							37.784	18.082			242.34	585.36			
91.000				7513.8								-0.26695								-0.25936							39.104	18.097			245.06	586.68			
92.000				7396.6								-0.27839								-0.26696							40.425	18.112			247.78	588.00			
93.000				7787.6								-0.24024								-0.27003							41.746	18.128			250.50	589.32			
94.000				7404.9								-0.27757								-0.27149							43.067	18.143			253.22	590.64			
95.000				7308.1								-0.28702								-0.26615							44.388	18.158			255.94	591.96			
96.000				7439.2								-0.27422								-0.27484							45.709	18.174			258.66	593.28			
97.000				7670.1								-0.25170								-0.27100							47.030	18.189			261.38	594.60			
98.000				7342.3								-0.28368								-0.25945							48.351	18.204			264.10	595.92			
99.000				7601.5								-0.25839								-0.26078							49.672	18.219			266.82	597.25			
100.00				7900.0								-0.22927								-0.26388							50.993	18.234			269.54	598.57			
101.00				7371.0								-0.28088								-0.25638							52.314	18.249			272.26	599.89			
102.00				7511.3								-0.26719								-0.26585							53.635	18.265			274.98	601.21			
103.00				7726.8								-0.24617								-0.26894							54.956	18.280			277.70	602.53			
104.00				7116.1								-0.30575								-0.27020							56.277	18.295			280.42	603.85			
105.00				7741.6								-0.24472								-0.27008							57.598	18.311			283.14	605.17			
106.00				7306.6								-0.28716								-0.28037							58.919	18.326			285.86	606.49			
107.00				7517.5								-0.26659								-0.27875							60.240	18.341			288.58	607.81			
108.00				7199.0								-0.29765								-0.29887							61.561	18.356			291.30	609.13			
109.00				7199.5								-0.29761								-0.30277							62.882	18.371			294.02	610.45			
110.00				6710.5								-0.34532								-0.30980							64.203	18.387			296.74	611.77			
111.00				7106.4								-0.30669								-0.30975							65.524	18.402			299.46	613.10			
112.00				7157.5								-0.30171								-0.30406							66.845	18.417			302.18	614.42			
113.00				7201.4								-0.29742								-0.28919							68.166	18.432			304.90	615.74			
114.00				7491.2								-0.26915								-0.28172							69.487	18.448			307.62	617.06			
115.00				7472.6								-0.27096								-0.29424							70.808	18.463			310.35	618.38			
116.00				7488.8								-0.26939								-0.29072							72.129	18.478			313.07	619.70			
117.00				6516.3								-0.36427								-0.30650							73.450	18.493			315.79	621.02			
118.00				7381.8								-0.27983								-0.31318							74.771	18.509			318.51	622.34			
119.00				6682.2								-0.34808								-0.32082							76.092	18.524			321.23	623.66			
120.00				7130.6								-0.30433								-0.31129							77.413	18.540			323.95	624.98			
121.00				7097.2								-0.30759								-0.31937							78.734	18.555			326.67	626.30			
122.00				7004.7								-0.31662								-0.30530							80.055	18.570			329.39	627.62			
123.00				6967.5								-0.32024								-0.30577							81.376	18.586			332.11	628.94			
124.00				7403.5								-0.27771								-0.31265							82.697	18.601			334.83	630.26			
