Model,DPO3034
Firmware Version,2.16

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4e-05,,,
Sample Interval,4e-10,,,
Record Length,1e+06,,,
Gating,48.749900% to 51.249900%,48.749900% to 51.249900%,48.749900% to 51.249900%,48.749900% to 51.249900%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.1,0.1,0.05,0.05
Label,,,,
TIME,CH1,CH2,CH3,CH4
4.60293740e-02,0.0927187,0.0778281,0.0455781,0.0434453
4.60293744e-02,0.0934375,0.0777969,0.0451641,0.0443047
4.60293748e-02,0.0922031,0.079875,0.04525,0.0439375
4.60293752e-02,0.0948438,0.0793125,0.0452422,0.0450234
4.60293756e-02,0.094875,0.078875,0.0448125,0.0452812
4.60293760e-02,0.0949062,0.0784219,0.0449141,0.0449531
4.60293764e-02,0.0940625,0.0802344,0.0444844,0.0445469
4.60293768e-02,0.0937031,0.0800312,0.0438594,0.0444453
4.60293772e-02,0.0933125,0.0779219,0.0440078,0.0449297
4.60293776e-02,0.0936406,0.0801094,0.0437109,0.0444297
4.60293780e-02,0.0928281,0.0809062,0.0434063,0.0443906
4.60293784e-02,0.0937812,0.0794375,0.0438906,0.043625
4.60293788e-02,0.0950781,0.0805469,0.0442344,0.0433438
4.60293792e-02,0.0939531,0.0797187,0.0443906,0.0428906
4.60293796e-02,0.0936875,0.0786719,0.0439609,0.0425469
4.60293800e-02,0.0930938,0.0799062,0.044375,0.0419844
4.60293804e-02,0.0937969,0.0794844,0.0449141,0.041875
4.60293808e-02,0.0937031,0.0789062,0.0455859,0.0421094
4.60293812e-02,0.0940156,0.0792187,0.0456094,0.0424766
4.60293816e-02,0.0951094,0.0788125,0.0457578,0.0426328
4.60293820e-02,0.0951562,0.0802344,0.0455703,0.0428203
4.60293824e-02,0.0944375,0.0784062,0.0453047,0.0424766
4.60293828e-02,0.0956719,0.0784375,0.0455,0.0429453
4.60293832e-02,0.0943438,0.0785,0.0456484,0.0433281
4.60293836e-02,0.0947031,0.0788437,0.0453594,0.0439219
4.60293840e-02,0.0945781,0.0783125,0.0454688,0.0438125
4.60293844e-02,0.0954531,0.0788906,0.0452969,0.0447734
4.60293848e-02,0.0949062,0.08,0.0449922,0.0447344
4.60293852e-02,0.0934062,0.0784062,0.0447344,0.0449609
4.60293856e-02,0.0926875,0.07875,0.0448594,0.0452188
4.60293860e-02,0.0942344,0.0791562,0.0442969,0.0453516
4.60293864e-02,0.0939687,0.0802969,0.0446484,0.0453125
4.60293868e-02,0.0953906,0.0792656,0.0441563,0.0449219
4.60293872e-02,0.0945156,0.0794219,0.0439688,0.0445234
4.60293876e-02,0.0950469,0.0806094,0.0443516,0.0443516
4.60293880e-02,0.0946875,0.0799062,0.0440859,0.0436406
4.60293884e-02,0.0943906,0.0790937,0.0444766,0.0435625
4.60293888e-02,0.0946875,0.0788594,0.0437422,0.0434219
4.60293892e-02,0.093875,0.0799062,0.044,0.0433125
4.60293896e-02,0.0940312,0.0801562,0.0444297,0.0425625
4.60293900e-02,0.093375,0.0799531,0.0451328,0.0422344
4.60293904e-02,0.0935156,0.0785312,0.0448906,0.0423438
4.60293908e-02,0.0947656,0.078625,0.0448984,0.0427344
4.60293912e-02,0.0955625,0.0788594,0.045125,0.042375
4.60293916e-02,0.0951094,0.0780469,0.0457188,0.0423281
4.60293920e-02,0.0930781,0.0787812,0.0453672,0.0423906
4.60293924e-02,0.0941875,0.0782969,0.0459297,0.0418125
4.60293928e-02,0.0951562,0.0787031,0.0458594,0.0424687
4.60293932e-02,0.0948281,0.0792187,0.0452266,0.0434375
4.60293936e-02,0.0948281,0.0790312,0.0457734,0.043125
4.60293940e-02,0.0951094,0.0784219,0.045625,0.0439609
4.60293944e-02,0.0942031,0.078625,0.0455938,0.0447109
4.60293948e-02,0.0933594,0.0805937,0.0450859,0.0449219
4.60293952e-02,0.0942187,0.0794375,0.0455547,0.0454141
4.60293956e-02,0.0954844,0.079125,0.0454766,0.0453438
4.60293960e-02,0.0948125,0.0797187,0.0447188,0.0456094
4.60293964e-02,0.0954844,0.0800625,0.0445625,0.0453047
4.60293968e-02,0.0948438,0.0806875,0.0441484,0.0453359
4.60293972e-02,0.0945938,0.0802969,0.0440859,0.0452969
4.60293976e-02,0.0943594,0.0804844,0.0437969,0.0442422
4.60293980e-02,0.0939375,0.0810312,0.0436484,0.0432891
4.60293984e-02,0.0945,0.0812656,0.0438047,0.0437578
4.60293988e-02,0.0938125,0.0808594,0.0432656,0.0428516
4.60293992e-02,0.0950312,0.0799375,0.0437734,0.0427266
4.60293996e-02,0.0939375,0.0806875,0.0447812,0.0422422
4.60294000e-02,0.0945469,0.0795625,0.044375,0.0421016
4.60294004e-02,0.0923438,0.0794375,0.0445,0.0421016
