Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4e-07,
Sample Interval,4e-09,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,5
Label,,
TIME,CH1,CH2
9.200e-07,30.1,14.3
9.240e-07,30.5,14.3
9.280e-07,30.1,14.5
9.320e-07,30.5,14.5
9.360e-07,30.3,14.7
9.400e-07,30.3,14.5
9.440e-07,30.5,14.7
9.480e-07,30.3,14.3
9.520e-07,30.5,14.5
9.560e-07,30.5,14.7
9.600e-07,30.5,14.3
9.640e-07,30.1,14.5
9.680e-07,29.9,14.3
9.720e-07,30.1,14.7
9.760e-07,30.1,14.5
9.800e-07,30.3,14.7
9.840e-07,29.9,14.7
9.880e-07,30.3,14.9
9.920e-07,30.3,14.7
9.960e-07,30.5,14.5
1.000e-06,30.7,14.7
1.004e-06,30.3,14.7
1.008e-06,30.5,14.7
1.012e-06,30.3,14.7
1.016e-06,29.9,14.5
1.020e-06,30.3,14.7
1.024e-06,30.1,14.7
1.028e-06,30.1,14.7
1.032e-06,30.1,14.5
1.036e-06,30.3,14.7
1.040e-06,30.1,14.9
1.044e-06,30.1,14.7
1.048e-06,29.9,14.7
1.052e-06,30.1,14.7
1.056e-06,30.3,14.9
1.060e-06,30.3,14.5
1.064e-06,30.1,14.5
1.068e-06,30.3,14.5
1.072e-06,29.9,14.7
1.076e-06,30.5,14.5
1.080e-06,30.1,14.5
1.084e-06,29.7,14.7
1.088e-06,30.1,14.7
1.092e-06,30.3,14.5
1.096e-06,30.1,14.7
1.100e-06,30.3,14.5
1.104e-06,30.3,14.9
1.108e-06,30.1,14.7
1.112e-06,30.3,14.3
1.116e-06,29.9,14.7
1.120e-06,30.1,14.5
1.124e-06,30.1,14.7
1.128e-06,30.1,14.7
1.132e-06,30.1,14.3
1.136e-06,29.9,14.7
1.140e-06,30.1,14.7
1.144e-06,29.9,14.9
1.148e-06,29.7,14.7
1.152e-06,29.9,14.5
1.156e-06,30.5,15.1
1.160e-06,30.1,15.1
1.164e-06,30.1,14.7
1.168e-06,30.1,14.9
1.172e-06,30.1,14.9
1.176e-06,30.1,15.1
1.180e-06,30.5,14.9
1.184e-06,30.3,14.7
1.188e-06,29.9,14.7
1.192e-06,30.1,14.7
1.196e-06,29.9,14.7
1.200e-06,29.9,14.7
1.204e-06,30.3,15.1
1.208e-06,30.5,14.7
1.212e-06,30.3,14.9
1.216e-06,30.1,14.7
1.220e-06,30.3,15.1
1.224e-06,30.1,14.9
1.228e-06,30.3,14.9
1.232e-06,29.9,14.9
1.236e-06,30.1,14.7
1.240e-06,30.3,15.1
1.244e-06,30.3,14.9
1.248e-06,30.5,15.1
1.252e-06,30.3,15.1
1.256e-06,30.5,15.1
1.260e-06,30.3,15.1
1.264e-06,30.3,15.1
1.268e-06,30.5,14.9
1.272e-06,30.3,15.1
1.276e-06,30.1,15.1
1.280e-06,30.1,15.1
1.284e-06,30.1,14.9
1.288e-06,30.5,15.3
1.292e-06,30.3,15.1
1.296e-06,30.1,14.9
1.300e-06,30.5,14.9
1.304e-06,30.1,15.1
1.308e-06,30.5,15.1
1.312e-06,30.3,15.1
1.316e-06,30.3,14.9
1.320e-06,30.5,15.1
1.324e-06,30.3,15.1
1.328e-06,30.3,15.1
1.332e-06,30.5,14.7
1.336e-06,30.3,15.1
1.340e-06,30.1,15.1
1.344e-06,30.5,14.9
1.348e-06,30.7,15.3
1.352e-06,30.3,15.1
1.356e-06,30.7,15.3
1.360e-06,30.5,15.1
1.364e-06,30.5,15.1
1.368e-06,30.5,15.1
1.372e-06,30.7,15.1
1.376e-06,30.5,14.9
1.380e-06,30.5,15.1
1.384e-06,30.3,14.9
1.388e-06,30.7,15.3
1.392e-06,30.5,15.3
1.396e-06,30.3,15.3
1.400e-06,30.5,15.1
1.404e-06,30.1,15.5
1.408e-06,30.3,15.1
1.412e-06,30.3,15.3
1.416e-06,30.7,15.1
1.420e-06,30.3,15.1
1.424e-06,30.3,15.3
1.428e-06,30.3,15.1
1.432e-06,30.3,15.1
1.436e-06,30.1,15.3
1.440e-06,30.5,15.1
1.444e-06,30.1,15.3
1.448e-06,30.5,14.9
1.452e-06,30.5,15.5
1.456e-06,30.5,15.3
1.460e-06,30.5,15.3
1.464e-06,30.1,15.3
1.468e-06,30.5,15.3
1.472e-06,30.3,15.3
1.476e-06,30.3,15.1
1.480e-06,30.3,15.3
1.484e-06,30.5,14.9
1.488e-06,30.7,15.3
1.492e-06,30.3,15.1
1.496e-06,30.3,15.3
1.500e-06,30.5,15.1
1.504e-06,29.9,14.9
1.508e-06,30.5,15.5
1.512e-06,30.1,15.3
1.516e-06,30.5,15.3
1.520e-06,30.5,14.9
1.524e-06,30.3,15.3
1.528e-06,30.5,15.1
1.532e-06,30.1,15.1
1.536e-06,30.3,15.5
1.540e-06,30.1,14.9
1.544e-06,30.5,15.3
1.548e-06,30.5,15.3
1.552e-06,30.1,14.9
1.556e-06,30.5,15.1
1.560e-06,30.3,14.9
1.564e-06,30.3,15.3
1.568e-06,30.3,15.3
1.572e-06,30.5,15.1
1.576e-06,30.5,15.1
1.580e-06,30.5,15.3
1.584e-06,29.9,15.1
1.588e-06,30.5,15.5
1.592e-06,30.3,15.1
1.596e-06,30.3,15.1
1.600e-06,30.3,15.3
1.604e-06,30.1,15.3
1.608e-06,29.9,15.3
1.612e-06,30.3,15.3
1.616e-06,30.3,15.1
1.620e-06,30.3,15.3
1.624e-06,30.1,15.3
1.628e-06,30.1,15.3
1.632e-06,30.3,15.5
1.636e-06,30.3,15.3
1.640e-06,30.3,15.5
1.644e-06,30.1,15.3
1.648e-06,30.1,15.1
1.652e-06,30.5,15.5
1.656e-06,30.3,15.3
1.660e-06,30.3,15.1
1.664e-06,30.1,15.3
1.668e-06,30.1,15.1
1.672e-06,29.9,15.3
1.676e-06,30.1,15.5
1.680e-06,29.9,15.3
1.684e-06,30.5,15.3
1.688e-06,30.3,15.1
1.692e-06,30.3,15.1
1.696e-06,30.1,15.3
1.700e-06,30.5,15.1
1.704e-06,29.9,15.5
1.708e-06,30.5,15.3
1.712e-06,30.3,15.3
1.716e-06,29.9,15.3
1.720e-06,30.5,15.3
1.724e-06,30.1,15.3
1.728e-06,30.1,15.3
1.732e-06,30.5,15.3
1.736e-06,30.3,15.5
1.740e-06,30.3,15.3
1.744e-06,29.9,15.3
1.748e-06,30.5,15.5
1.752e-06,30.5,15.3
1.756e-06,30.3,15.5
1.760e-06,30.5,15.3
1.764e-06,30.1,15.1
1.768e-06,30.5,15.3
1.772e-06,30.5,15.3
1.776e-06,30.3,15.3
1.780e-06,30.3,15.3
1.784e-06,30.7,15.3
1.788e-06,30.1,15.7
1.792e-06,30.5,15.3
1.796e-06,30.3,15.3
1.800e-06,30.3,15.3
1.804e-06,30.1,15.3
1.808e-06,30.1,15.5
1.812e-06,30.5,15.3
1.816e-06,30.1,15.3
1.820e-06,30.3,15.5
1.824e-06,30.1,15.3
1.828e-06,30.3,15.3
1.832e-06,30.5,15.5
1.836e-06,30.3,15.3
1.840e-06,30.3,15.7
1.844e-06,30.1,15.5
1.848e-06,30.1,15.3
1.852e-06,30.1,15.5
1.856e-06,30.3,15.3
1.860e-06,30.3,15.7
1.864e-06,30.3,15.3
1.868e-06,30.1,15.7
1.872e-06,30.3,15.3
1.876e-06,30.1,15.3
1.880e-06,30.1,15.5
1.884e-06,30.3,15.3
1.888e-06,30.5,15.5
1.892e-06,30.1,15.3
1.896e-06,30.5,15.1
1.900e-06,30.5,15.5
1.904e-06,30.3,15.5
1.908e-06,30.3,15.3
1.912e-06,30.5,15.3
1.916e-06,30.5,15.5
1.920e-06,30.5,15.3
1.924e-06,29.9,15.5
1.928e-06,30.1,15.5
1.932e-06,29.9,15.3
1.936e-06,30.1,15.3
1.940e-06,30.3,15.3
1.944e-06,30.3,15.5
1.948e-06,30.3,15.3
1.952e-06,30.3,15.3
1.956e-06,30.3,15.5
1.960e-06,30.1,15.5
1.964e-06,30.3,15.7
1.968e-06,30.1,15.3
1.972e-06,30.5,15.5
1.976e-06,30.3,15.3
1.980e-06,30.5,15.3
1.984e-06,30.5,15.5
1.988e-06,30.1,15.3
1.992e-06,30.1,15.3
1.996e-06,29.9,15.5
2.000e-06,30.3,15.5
2.004e-06,30.5,15.5
2.008e-06,30.5,15.5
2.012e-06,30.5,15.7
2.016e-06,29.7,15.3
2.020e-06,30.1,15.7
2.024e-06,30.1,15.3
2.028e-06,30.1,15.5
2.032e-06,30.1,15.3
2.036e-06,30.3,15.3
2.040e-06,30.3,15.3
2.044e-06,30.3,15.1
2.048e-06,30.5,15.5
2.052e-06,30.1,15.1
2.056e-06,30.5,15.5
2.060e-06,30.1,15.3
2.064e-06,30.5,15.3
2.068e-06,30.3,15.3
2.072e-06,30.1,15.3
2.076e-06,29.9,15.3
2.080e-06,30.1,15.3
2.084e-06,29.9,15.7
2.088e-06,30.5,15.3
2.092e-06,30.1,15.5
2.096e-06,30.3,15.5
2.100e-06,30.5,15.7
2.104e-06,30.1,15.7
2.108e-06,30.3,15.3
2.112e-06,30.5,15.3
2.116e-06,30.3,15.3
2.120e-06,30.5,15.3
2.124e-06,30.5,15.3
2.128e-06,30.1,15.7
2.132e-06,30.3,15.3
2.136e-06,30.3,15.1
2.140e-06,30.1,15.5
2.144e-06,30.3,15.3
2.148e-06,30.1,15.5
2.152e-06,30.1,15.3
2.156e-06,30.3,15.3
2.160e-06,30.1,15.3
2.164e-06,30.3,15.7
2.168e-06,30.1,15.5
2.172e-06,30.1,15.5
2.176e-06,30.1,15.5
2.180e-06,30.1,15.5
2.184e-06,30.1,15.7
2.188e-06,29.9,15.7
2.192e-06,30.3,15.5
2.196e-06,29.5,15.3
2.200e-06,30.1,15.3
2.204e-06,30.3,15.3
2.208e-06,29.9,15.3
2.212e-06,29.9,15.3
2.216e-06,30.1,15.9
2.220e-06,29.7,15.7
2.224e-06,30.3,15.5
2.228e-06,30.1,15.3
2.232e-06,30.1,15.5
2.236e-06,30.1,15.7
2.240e-06,30.1,15.5
2.244e-06,29.7,15.7
2.248e-06,30.3,15.3
2.252e-06,29.9,15.3
2.256e-06,30.1,15.5
2.260e-06,30.3,15.3
2.264e-06,30.3,15.7
2.268e-06,30.1,15.5
2.272e-06,30.1,15.7
2.276e-06,30.3,15.7
2.280e-06,29.9,15.5
2.284e-06,30.1,15.3
2.288e-06,30.1,15.3
2.292e-06,29.9,15.7
2.296e-06,30.3,15.3
2.300e-06,30.1,15.5
2.304e-06,30.1,15.3
2.308e-06,29.9,15.5
2.312e-06,30.3,15.7
2.316e-06,30.5,15.7
2.320e-06,30.3,15.3
2.324e-06,30.1,15.5
2.328e-06,30.3,15.3
2.332e-06,30.1,15.5
2.336e-06,30.1,15.7
2.340e-06,30.1,15.3
2.344e-06,30.1,15.7
2.348e-06,30.3,15.5
2.352e-06,29.9,15.5
2.356e-06,30.1,15.3
2.360e-06,30.3,15.5
2.364e-06,29.9,15.5
2.368e-06,29.9,15.3
2.372e-06,30.5,15.7
2.376e-06,30.1,15.5
2.380e-06,30.3,15.7
2.384e-06,29.9,15.7
2.388e-06,30.5,15.5
2.392e-06,30.5,15.3
2.396e-06,30.3,15.5
2.400e-06,30.1,15.3
2.404e-06,30.1,15.9
2.408e-06,30.1,15.5
2.412e-06,30.3,15.7
2.416e-06,29.9,15.5
2.420e-06,30.1,15.3
2.424e-06,30.1,15.7
2.428e-06,30.5,15.5
2.432e-06,30.1,15.7
2.436e-06,30.1,15.7
2.440e-06,30.3,15.7
2.444e-06,30.5,15.3
2.448e-06,30.1,15.7
2.452e-06,30.1,15.5
2.456e-06,30.1,15.5
2.460e-06,30.5,15.7
2.464e-06,30.1,15.3
2.468e-06,30.3,15.7
2.472e-06,30.3,15.5
2.476e-06,30.3,15.7
2.480e-06,30.1,15.7
2.484e-06,30.1,15.7
2.488e-06,30.1,15.3
2.492e-06,30.1,15.5
2.496e-06,30.1,15.3
2.500e-06,29.9,15.5
2.504e-06,30.3,15.5
2.508e-06,30.5,15.5
2.512e-06,29.9,15.5
2.516e-06,30.3,15.7
2.520e-06,30.1,15.7
2.524e-06,30.3,15.3
2.528e-06,30.1,15.7
2.532e-06,30.5,15.5
2.536e-06,30.3,15.5
2.540e-06,30.3,15.7
2.544e-06,30.3,15.3
2.548e-06,30.3,15.3
