t (s)	I (A)	V (V)	R(ohm)	Ibias (A)	Rrem(ohm)	Vsense (V)	Rsense(ohm)	Vdif (V)	Rdif(ohm)	VbiasSense (V)	RremSense(ohm)	VbiasDif (V)	RremDif(ohm)	T [K]	Rterm(ohm)	IbiasNEG (A)	RremNEG(ohm)	VbiasSenseNEG (V)	RremSenseNEG(ohm)	VbiasDifNEG (V)	RremDifNEG(ohm)	PasodeV	Saturó?	Saturó? (bias)	Saturó? (biasNEG)
2.5921000E+1	3.6176149E-7	4.7999999E-1	1.3268410E+6	-9.5777978E-8	-1.0440813E+6	4.8012230E-1	1.3271791E+6	-1.2230000E-4	-3.3806802E+2	9.9936724E-2	-1.0434206E+6	6.3280000E-5	-6.6069464E+2	1.7870456E+2	1.0741914E+1	-2.4680980E-7	4.0517031E+5	-1.0012530E-1	4.0567797E+5	1.2529999E-4	-5.0767838E+2	2.5000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.6733999E+1	6.6070470E-8	5.0000000E-1	7.5676775E+6	-1.9525740E-7	-5.1214447E+5	4.9984309E-1	7.5653025E+6	1.5690000E-4	2.3747371E+3	9.9957474E-2	-5.1192666E+5	4.2529999E-5	-2.1781505E+2	1.7870456E+2	1.0741914E+1	-4.9094641E-8	2.0368822E+6	-9.9741697E-2	2.0316210E+6	-2.5829999E-4	5.2612666E+3	2.6000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.7546000E+1	-4.8014609E-8	5.1999998E-1	-1.0830037E+7	7.3471028E-8	1.3610806E+6	5.1992851E-1	-1.0828548E+7	7.1499999E-5	-1.4891301E+3	1.0054330E-1	1.3684755E+6	-5.4330000E-4	-7.3947515E+3	1.7870456E+2	1.0741914E+1	1.7990520E-7	-5.5584831E+5	-9.9876881E-2	-5.5516394E+5	-1.2312000E-4	-6.8436041E+2	2.7000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.8375000E+1	1.0765440E-7	5.4000002E-1	5.0160515E+6	1.8034530E-7	5.5449187E+5	5.4039502E-1	5.0197205E+6	-3.9500001E-4	-3.6691487E+3	1.0031410E-1	5.5623350E+5	-3.1410001E-4	-1.7416589E+3	1.7870456E+2	1.0741914E+1	1.0586620E-7	-9.4458856E+5	-1.0034110E-1	-9.4781056E+5	3.4110001E-4	3.2219915E+3	2.8000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.9187000E+1	4.1665291E-7	5.6000000E-1	1.3440444E+6	1.0713090E-7	9.3343750E+5	5.6012732E-1	1.3443499E+6	-1.2729999E-4	-3.0553009E+2	9.9786997E-2	9.3144931E+5	2.1300001E-4	1.9882219E+3	1.7870456E+2	1.0741914E+1	4.9106461E-8	-2.0363920E+6	-1.0034510E-1	-2.0434195E+6	3.4510001E-4	7.0275889E+3	2.9000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
3.2139999E+1	6.8839313E-8	5.7999998E-1	8.4254190E+6	-1.9129730E-7	-5.2274653E+5	5.7986498E-1	8.4234570E+6	1.3499999E-4	1.9610887E+3	9.9939346E-2	-5.2242950E+5	6.0650000E-5	-3.1704578E+2	1.7870456E+2	1.0741600E+1	-3.0051300E-8	3.3276430E+6	-9.9672079E-2	3.3167310E+6	-3.2791999E-4	1.0912007E+4	3.0000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
3.2952999E+1	3.2437359E-8	6.0000002E-1	1.8497190E+7	1.1536520E-7	8.6681250E+5	5.9999800E-1	1.8497128E+7	2.0000000E-6	6.1657299E+1	1.0022830E-1	8.6879144E+5	-2.2830001E-4	-1.9789330E+3	1.7870456E+2	1.0741600E+1	1.5439210E-7	-6.4770156E+5	-9.9964142E-2	-6.4746925E+5	-3.5860001E-5	-2.3226578E+2	3.1000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
3.3764999E+1	5.5612969E-7	6.2000000E-1	1.1148479E+6	3.6307370E-8	2.7542618E+6	6.2019873E-1	1.1152051E+6	-1.9870000E-4	-3.5729074E+2	9.9693298E-2	2.7458145E+6	3.0670001E-4	8.4473203E+3	1.7870456E+2	1.0741600E+1	-1.9277520E-7	5.1873894E+5	-1.0032300E-1	5.2041444E+5	3.2299999E-4	-1.6755267E+3	3.2000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
3.4577999E+1	3.5805041E-7	6.3999999E-1	1.7874579E+6	-1.8929020E-7	-5.2828937E+5	6.3965821E-1	1.7865032E+6	3.4180001E-4	9.5461420E+2	9.9904060E-2	-5.2778250E+5	9.5939999E-5	-5.0684082E+2	1.7870456E+2	1.0741600E+1	-8.9200967E-8	1.1210640E+6	-9.9735737E-2	1.1181015E+6	-2.6425999E-4	2.9625239E+3	3.3000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
3.5405998E+1	1.8250850E-7	6.6000003E-1	3.6162700E+6	-2.6178780E-8	-3.8198878E+6	6.6000468E-1	3.6162958E+6	-4.6999999E-6	-2.5752226E+1	1.0031600E-1	-3.8319585E+6	-3.1599999E-4	1.2070845E+4	1.7870456E+2	1.0741600E+1	1.4640550E-7	-6.8303444E+5	-9.9772207E-2	-6.8147856E+5	-2.2779001E-4	-1.5558842E+3	3.4000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
3.6217999E+1	3.1024800E-7	6.8000001E-1	2.1917950E+6	2.2590110E-7	4.4267159E+5	6.8022799E-1	2.1925298E+6	-2.2800000E-4	-7.3489594E+2	1.0031010E-1	4.4404431E+5	-3.1010000E-4	-1.3727246E+3	1.7870456E+2	1.0741600E+1	2.6631140E-9	-3.7550028E+7	-1.0030650E-1	-3.7665116E+7	3.0650001E-4	1.1509083E+5	3.5000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
3.7296001E+1	2.2982699E-7	6.9999999E-1	3.0457692E+6	2.3545870E-7	4.2470294E+5	6.9989508E-1	3.0453128E+6	1.0490000E-4	4.5643027E+2	1.0026930E-1	4.2584666E+5	-2.6930001E-4	-1.1437250E+3	1.7870456E+2	1.0741600E+1	9.0010190E-8	-1.1109854E+6	-1.0036400E-1	-1.1150292E+6	3.6400001E-4	4.0439866E+3	3.6000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
3.9827999E+1	7.1975859E-7	7.2000003E-1	1.0003354E+6	5.6627979E-8	1.7659115E+6	7.2000319E-1	1.0003398E+6	-3.2000000E-6	-4.4459352E+0	9.9833012E-2	1.7629626E+6	1.6698999E-4	2.9488955E+3	1.7870456E+2	1.0741514E+1	-2.1340701E-7	4.6858819E+5	-1.0027910E-1	4.6989603E+5	2.7910000E-4	-1.3078296E+3	3.7000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
4.0639999E+1	3.8052249E-7	7.4000001E-1	1.9446945E+6	-1.6283910E-7	-6.1410312E+5	7.3968202E-1	1.9438588E+6	3.1800001E-4	8.3569305E+2	9.9971771E-2	-6.1392975E+5	2.8230001E-5	-1.7336131E+2	1.7870456E+2	1.0741514E+1	-9.1555187E-8	1.0922374E+6	-9.9804640E-2	1.0901036E+6	-1.9536000E-4	2.1337949E+3	3.8000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
4.1452999E+1	4.4037029E-7	7.5999999E-1	1.7258202E+6	-5.5823190E-8	-1.7913702E+6	7.5987113E-1	1.7255276E+6	1.2890001E-4	2.9270819E+2	1.0042190E-1	-1.7989280E+6	-4.2190001E-4	7.5577910E+3	1.7870456E+2	1.0741514E+1	1.7381960E-7	-5.7530912E+5	-9.9850647E-2	-5.7444987E+5	-1.4935000E-4	-8.5922418E+2	3.9000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
4.2264999E+1	7.3413582E-7	7.7999997E-1	1.0624738E+6	2.4885219E-7	4.0184494E+5	7.8050661E-1	1.0631638E+6	-5.0660002E-4	-6.9006305E+2	1.0025330E-1	4.0286281E+5	-2.5330001E-4	-1.0178732E+3	1.7870456E+2	1.0741514E+1	1.6858590E-7	-5.9316944E+5	-9.9928863E-2	-5.9274744E+5	-7.1139999E-5	-4.2198071E+2	4.0000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
4.3092999E+1	8.9577452E-7	8.0000001E-1	8.9308194E+5	1.0504060E-7	9.5201281E+5	8.0026281E-1	8.9337531E+5	-2.6279999E-4	-2.9337741E+2	9.9806070E-2	9.5016662E+5	1.9393000E-4	1.8462385E+3	1.7870456E+2	1.0741514E+1	-2.3923440E-7	4.1800009E+5	-1.0025310E-1	4.1905803E+5	2.5310001E-4	-1.0579583E+3	4.1000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
4.3905998E+1	6.6989543E-7	8.1999999E-1	1.2240718E+6	-1.6479009E-7	-6.0683256E+5	8.1996322E-1	1.2240168E+6	3.6800000E-5	5.4933949E+1	9.9868767E-2	-6.0603625E+5	1.3123000E-4	-7.9634637E+2	1.7870456E+2	1.0741514E+1	-8.9964601E-8	1.1115484E+6	-9.9814653E-2	1.1094881E+6	-1.8535000E-4	2.0602549E+3	4.2000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
4.6750000E+1	6.1404859E-7	8.3999997E-1	1.3679699E+6	1.7924210E-8	5.5790465E+6	8.3977717E-1	1.3676070E+6	2.2279999E-4	3.6283774E+2	1.0039190E-1	5.6009105E+6	-3.9189999E-4	-2.1864283E+4	1.7870456E+2	1.0741410E+1	1.6867980E-7	-5.9283919E+5	-1.0002420E-1	-5.9298269E+5	2.4200001E-5	1.4346709E+2	4.3000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
4.7562000E+1	1.0314960E-6	8.6000001E-1	8.3374050E+5	2.9417939E-7	3.3992862E+5	8.5776228E-1	8.3157112E+5	2.2376999E-3	2.1693735E+3	1.0023880E-1	3.4074037E+5	-2.3880000E-4	-8.1174957E+2	1.7870456E+2	1.0741410E+1	-3.0518090E-9	3.2767450E+7	-1.0036920E-1	3.2888428E+7	3.6919999E-4	-1.2097743E+5	4.4000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
4.8375000E+1	1.0500600E-6	8.8000000E-1	8.3804737E+5	-4.0231498E-9	-2.4856146E+7	8.0612618E-1	7.6769537E+5	7.3873803E-2	7.0351977E+4	9.9631071E-2	-2.4764444E+7	3.6892999E-4	-9.1701773E+4	1.7870456E+2	1.0741410E+1	-2.5667239E-7	3.8960169E+5	-1.0014150E-1	3.9015297E+5	1.4150000E-4	-5.5128638E+2	4.5000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
4.9202999E+1	1.0743320E-6	8.9999998E-1	8.3772987E+5	-1.8467870E-7	-5.4148094E+5	9.0000242E-1	8.3773212E+5	-2.4000001E-6	-2.2339463E+0	9.9991560E-2	-5.4143525E+5	8.4399999E-6	-4.5700993E+1	1.7870456E+2	1.0741410E+1	-1.0297770E-7	9.7108400E+5	-9.9754810E-2	9.6870300E+5	-2.4518999E-4	2.3810010E+3	4.6000000E+1	1.0000000E+0	0.0000000E+0	0.0000000E+0
5.0014999E+1	9.4152978E-7	9.2000002E-1	9.7713319E+5	6.4560368E-8	1.5489379E+6	9.2002439E-1	9.7715906E+5	-2.4400000E-5	-2.5915272E+1	1.0050990E-1	1.5568359E+6	-5.0989998E-4	-7.8980342E+3	1.7870456E+2	1.0741410E+1	1.7602569E-7	-5.6809887E+5	-9.9871866E-2	-5.6737094E+5	-1.2813001E-4	-7.2790509E+2	4.7000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
5.0827999E+1	1.0500401E-6	9.4000000E-1	8.9520400E+5	2.7497211E-7	3.6367325E+5	8.7156188E-1	8.3002731E+5	6.8438098E-2	6.5176660E+4	1.0021230E-1	3.6444534E+5	-2.1230000E-4	-7.7207831E+2	1.7870456E+2	1.0741410E+1	1.3832390E-8	-7.2294085E+6	-1.0030360E-1	-7.2513570E+6	3.0360001E-4	2.1948484E+4	4.8000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
5.1639999E+1	1.9964159E-6	9.5999998E-1	4.8086172E+5	1.2655480E-7	7.9017150E+5	9.6002781E-1	4.8087562E+5	-2.7800001E-5	-1.3924953E+1	9.9788189E-2	7.8849787E+5	2.1180999E-4	1.6736624E+3	1.7870456E+2	1.0741410E+1	-1.4272470E-7	7.0064956E+5	-1.0031770E-1	7.0287556E+5	3.1770000E-4	-2.2259636E+3	4.9000000E+1	1.0000000E+0	0.0000000E+0	0.0000000E+0
5.2452999E+1	2.1754929E-6	9.8000002E-1	4.5047259E+5	1.3413460E-8	7.4551980E+6	9.8004359E-1	4.5049266E+5	-4.3600001E-5	-2.0041433E+1	9.9648707E-2	7.4290085E+6	3.5128999E-4	2.6189365E+4	1.7870456E+2	1.0741410E+1	-2.6240710E-7	3.8108725E+5	-1.0010650E-1	3.8149309E+5	1.0650000E-4	-4.0585791E+2	5.0000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
5.3280998E+1	1.7081110E-6	1.0000000E+0	5.8544206E+5	-1.6012790E-7	-6.2450081E+5	1.0000350E+0	5.8546256E+5	-3.5000001E-5	-2.0490471E+1	9.9958420E-2	-6.2424112E+5	4.1579999E-5	-2.5966742E+2	1.7870456E+2	1.0741410E+1	-8.7791250E-9	1.1390657E+7	-9.9607714E-2	1.1345972E+7	-3.9229001E-4	4.4684406E+4	5.1000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
5.4092999E+1	1.8816920E-6	1.0200000E+0	5.4206531E+5	1.7138539E-7	5.8348025E+5	1.0200770E+0	5.4210625E+5	-7.6999997E-5	-4.0920620E+1	1.0035040E-1	5.8552481E+5	-3.5039999E-4	-2.0445149E+3	1.7870456E+2	1.0741410E+1	1.4683100E-7	-6.8105506E+5	-1.0000680E-1	-6.8110137E+5	6.7999999E-6	4.6311745E+1	5.2000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
5.4905998E+1	3.0702720E-6	1.0400000E+0	3.3873222E+5	1.9078250E-7	5.2415709E+5	1.0399280E+0	3.3870875E+5	7.2000003E-5	2.3450691E+1	1.0002590E-1	5.2429287E+5	-2.5900001E-5	-1.3575668E+2	1.7870456E+2	1.0741410E+1	-9.7279781E-8	1.0279629E+6	-1.0047320E-1	1.0328272E+6	4.7319999E-4	-4.8643203E+3	5.3000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
5.5717999E+1	2.4852320E-6	1.0599999E+0	4.2651953E+5	-1.6497870E-7	-6.0613887E+5	1.0602100E+0	4.2660403E+5	-2.1000000E-4	-8.4499153E+1	9.9897154E-2	-6.0551544E+5	1.0285000E-4	-6.2341382E+2	1.7870456E+2	1.0741410E+1	-4.2442249E-8	2.3561428E+6	-1.0043310E-1	2.3663472E+6	4.3310001E-4	-1.0204454E+4	5.4000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
