Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,1e-05
Sample Interval,1e-07
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Label,
TIME,CH1
2.010e-05,0.08
2.020e-05,0.088
2.030e-05,0.072
2.040e-05,0.088
2.050e-05,0.072
2.060e-05,0.088
2.070e-05,0.072
2.080e-05,0.08
2.090e-05,0.08
2.100e-05,0.088
2.110e-05,0.08
2.120e-05,0.088
2.130e-05,0.096
2.140e-05,0.08
2.150e-05,0.072
2.160e-05,0.08
2.170e-05,0.08
2.180e-05,0.08
2.190e-05,0.088
2.200e-05,0.088
2.210e-05,0.072
2.220e-05,0.064
2.230e-05,0.064
2.240e-05,0.088
2.250e-05,0.088
2.260e-05,0.072
2.270e-05,0.08
2.280e-05,0.088
2.290e-05,0.064
2.300e-05,0.08
2.310e-05,0.064
2.320e-05,0.088
2.330e-05,0.088
2.340e-05,0.104
2.350e-05,0.096
2.360e-05,0.088
2.370e-05,0.088
2.380e-05,0.064
2.390e-05,0.072
2.400e-05,0.088
2.410e-05,0.08
2.420e-05,0.096
2.430e-05,0.072
2.440e-05,0.088
2.450e-05,0.072
2.460e-05,0.08
2.470e-05,0.096
2.480e-05,0.088
2.490e-05,0.08
2.500e-05,0.088
2.510e-05,0.088
2.520e-05,0.072
2.530e-05,0.08
2.540e-05,0.08
2.550e-05,0.096
2.560e-05,0.088
2.570e-05,0.088
2.580e-05,0.104
2.590e-05,0.064
2.600e-05,0.104
2.610e-05,0.08
2.620e-05,0.088
2.630e-05,0.08
2.640e-05,0.088
2.650e-05,0.088
2.660e-05,0.072
2.670e-05,0.08
2.680e-05,0.096
2.690e-05,0.08
2.700e-05,0.088
2.710e-05,0.08
2.720e-05,0.072
2.730e-05,0.08
2.740e-05,0.104
2.750e-05,0.072
2.760e-05,0.088
2.770e-05,0.096
2.780e-05,0.08
2.790e-05,0.072
2.800e-05,0.088
2.810e-05,0.072
2.820e-05,0.072
2.830e-05,0.088
2.840e-05,0.072
2.850e-05,0.08
2.860e-05,0.08
2.870e-05,0.08
2.880e-05,0.08
2.890e-05,0.072
2.900e-05,0.088
2.910e-05,0.08
2.920e-05,0.072
2.930e-05,0.08
2.940e-05,0.088
2.950e-05,0.088
2.960e-05,0.08
2.970e-05,0.088
2.980e-05,0.08
2.990e-05,0.088
3.000e-05,0.072
3.010e-05,0.08
3.020e-05,0.08
3.030e-05,0.08
3.040e-05,0.08
3.050e-05,0.08
3.060e-05,0.072
3.070e-05,0.072
3.080e-05,0.072
3.090e-05,0.072
3.100e-05,0.08
3.110e-05,0.08
3.120e-05,0.088
3.130e-05,0.088
3.140e-05,0.08
3.150e-05,0.08
3.160e-05,0.128
3.170e-05,0.08
3.180e-05,0.072
3.190e-05,0.08
3.200e-05,0.088
3.210e-05,0.088
3.220e-05,0.096
3.230e-05,0.08
3.240e-05,0.08
3.250e-05,0.064
3.260e-05,0.088
3.270e-05,0.088
3.280e-05,0.088
3.290e-05,0.08
3.300e-05,0.096
3.310e-05,0.088
3.320e-05,0.08
3.330e-05,0.08
3.340e-05,0.104
3.350e-05,0.088
3.360e-05,0.064
3.370e-05,0.072
3.380e-05,0.064
3.390e-05,0.088
3.400e-05,0.08
3.410e-05,0.096
3.420e-05,0.088
3.430e-05,0.088
3.440e-05,0.072
3.450e-05,0.088
3.460e-05,0.072
3.470e-05,0.088
3.480e-05,0.088
3.490e-05,0.08
3.500e-05,0.08
3.510e-05,0.08
3.520e-05,0.08
3.530e-05,0.08
3.540e-05,0.088
3.550e-05,0.088
3.560e-05,0.096
3.570e-05,0.088
3.580e-05,0.088
3.590e-05,0.088
3.600e-05,0.088
3.610e-05,0.088
3.620e-05,0.088
3.630e-05,0.08
3.640e-05,0.072
3.650e-05,0.088
3.660e-05,0.088
3.670e-05,0.072
3.680e-05,0.08
3.690e-05,0.08
3.700e-05,0.08
3.710e-05,0.08
3.720e-05,0.08
3.730e-05,0.096
3.740e-05,0.08
3.750e-05,0.088
3.760e-05,0.096
3.770e-05,0.096
3.780e-05,0.104
3.790e-05,0.088
3.800e-05,0.08
3.810e-05,0.08
3.820e-05,0.072
3.830e-05,0.088
3.840e-05,0.088
3.850e-05,0.072
3.860e-05,0.08
3.870e-05,0.08
3.880e-05,0.08
3.890e-05,0.08
3.900e-05,0.08
3.910e-05,0.088
3.920e-05,0.072
3.930e-05,0.08
3.940e-05,0.088
3.950e-05,0.08
3.960e-05,0.096
3.970e-05,0.08
3.980e-05,0.08
3.990e-05,0.08
4.000e-05,0.088
4.010e-05,0.08
4.020e-05,0.08
4.030e-05,0.088
4.040e-05,0.08
4.050e-05,0.08
4.060e-05,0.072
4.070e-05,0.088
4.080e-05,0.088
4.090e-05,0.08
4.100e-05,0.104
4.110e-05,0.088
4.120e-05,0.088
4.130e-05,0.088
4.140e-05,0.08
4.150e-05,0.064
4.160e-05,0.096
4.170e-05,0.08
4.180e-05,0.08
4.190e-05,0.088
4.200e-05,0.08
4.210e-05,0.08
4.220e-05,0.096
4.230e-05,0.088
4.240e-05,0.072
4.250e-05,0.08
4.260e-05,0.088
4.270e-05,0.088
4.280e-05,0.088
4.290e-05,0.072
4.300e-05,0.088
4.310e-05,0.08
4.320e-05,0.088
4.330e-05,0.088
4.340e-05,0.088
4.350e-05,0.088
4.360e-05,0.088
4.370e-05,0.088
4.380e-05,0.072
4.390e-05,0.088
4.400e-05,0.096
4.410e-05,0.096
4.420e-05,0.08
4.430e-05,0.08
4.440e-05,0.104
4.450e-05,0.08
4.460e-05,0.08
4.470e-05,0.072
4.480e-05,0.096
4.490e-05,0.088
4.500e-05,0.08
4.510e-05,0.096
4.520e-05,0.072
4.530e-05,0.072
4.540e-05,0.096
4.550e-05,0.08
4.560e-05,0.08
4.570e-05,0.08
4.580e-05,0.088
4.590e-05,0.088
4.600e-05,0.064
4.610e-05,0.08
4.620e-05,0.088
4.630e-05,0.088
4.640e-05,0.104
4.650e-05,0.104
4.660e-05,0.072
4.670e-05,0.08
4.680e-05,0.064
4.690e-05,0.08
4.700e-05,0.08
4.710e-05,0.088
4.720e-05,0.088
4.730e-05,0.096
4.740e-05,0.08
4.750e-05,0.08
4.760e-05,0.088
4.770e-05,0.096
4.780e-05,0.072
4.790e-05,0.072
4.800e-05,0.072
4.810e-05,0.08
4.820e-05,0.08
4.830e-05,0.12
4.840e-05,0.064
4.850e-05,0.088
4.860e-05,0.064
4.870e-05,0.072
4.880e-05,0.08
4.890e-05,0.08
4.900e-05,0.088
4.910e-05,0.096
4.920e-05,0.08
4.930e-05,0.08
4.940e-05,0.072
4.950e-05,0.088
4.960e-05,0.08
4.970e-05,0.088
4.980e-05,0.088
4.990e-05,0.088
5.000e-05,0.088
5.010e-05,0.072
5.020e-05,0.072
5.030e-05,0.072
5.040e-05,0.08
5.050e-05,0.088
5.060e-05,0.08
5.070e-05,0.08
5.080e-05,0.088
5.090e-05,0.072
5.100e-05,0.088
5.110e-05,0.088
5.120e-05,0.08
5.130e-05,0.096
5.140e-05,0.08
5.150e-05,0.08
5.160e-05,0.096
5.170e-05,0.064
5.180e-05,0.08
5.190e-05,0.088
5.200e-05,0.088
5.210e-05,0.088
5.220e-05,0.096
5.230e-05,0.096
5.240e-05,0.072
5.250e-05,0.096
5.260e-05,0.08
5.270e-05,0.08
5.280e-05,0.064
5.290e-05,0.088
5.300e-05,0.072
5.310e-05,0.088
5.320e-05,0.088
5.330e-05,0.072
5.340e-05,0.096
5.350e-05,0.08
5.360e-05,0.08
5.370e-05,0.08
5.380e-05,0.088
5.390e-05,0.08
5.400e-05,0.08
5.410e-05,0.08
5.420e-05,0.096
5.430e-05,0.08
5.440e-05,0.088
5.450e-05,0.104
5.460e-05,0.08
5.470e-05,0.08
5.480e-05,0.08
5.490e-05,0.088
5.500e-05,0.08
5.510e-05,0.088
5.520e-05,0.088
5.530e-05,0.072
5.540e-05,0.104
5.550e-05,0.08
5.560e-05,0.08
5.570e-05,0.08
5.580e-05,0.08
5.590e-05,0.088
5.600e-05,0.08
5.610e-05,0.088
5.620e-05,0.088
5.630e-05,0.088
5.640e-05,0.08
5.650e-05,0.08
5.660e-05,0.08
5.670e-05,0.088
5.680e-05,0.096
5.690e-05,0.104
5.700e-05,0.08
5.710e-05,0.08
5.720e-05,0.096
5.730e-05,0.08
5.740e-05,0.08
5.750e-05,0.08
5.760e-05,0.088
5.770e-05,0.072
5.780e-05,0.072
5.790e-05,0.088
5.800e-05,0.072
5.810e-05,0.08
5.820e-05,0.08
5.830e-05,0.08
5.840e-05,0.08
5.850e-05,0.08
5.860e-05,0.088
5.870e-05,0.088
5.880e-05,0.08
5.890e-05,0.08
5.900e-05,0.088
5.910e-05,0.088
5.920e-05,0.08
5.930e-05,0.08
5.940e-05,0.08
5.950e-05,0.096
5.960e-05,0.08
5.970e-05,0.08
5.980e-05,0.088
5.990e-05,0.088
6.000e-05,0.088
6.010e-05,0.08
6.020e-05,0.08
6.030e-05,0.096
6.040e-05,0.088
6.050e-05,0.08
6.060e-05,0.08
6.070e-05,0.072
6.080e-05,0.08
6.090e-05,0.08
6.100e-05,0.096
6.110e-05,0.08
6.120e-05,0.096
6.130e-05,0.072
6.140e-05,0.072
6.150e-05,0.088
6.160e-05,0.088
6.170e-05,0.104
6.180e-05,0.072
6.190e-05,0.08
6.200e-05,0.08
6.210e-05,0.096
6.220e-05,0.08
6.230e-05,0.096
6.240e-05,0.08
6.250e-05,0.08
6.260e-05,0.096
6.270e-05,0.08
6.280e-05,0.072
6.290e-05,0.08
6.300e-05,0.08
6.310e-05,0.08
6.320e-05,0.088
6.330e-05,0.048
6.340e-05,0.096
6.350e-05,0.056
6.360e-05,0.08
6.370e-05,0.08
6.380e-05,0.064
6.390e-05,0.08
6.400e-05,0.088
6.410e-05,0.088
6.420e-05,0.096
6.430e-05,0.08
6.440e-05,0.088
6.450e-05,0.088
6.460e-05,0.088
6.470e-05,0.088
6.480e-05,0.088
6.490e-05,0.072
6.500e-05,0.104
6.510e-05,0.088
6.520e-05,0.088
6.530e-05,0.072
6.540e-05,0.08
6.550e-05,0.088
6.560e-05,0.096
6.570e-05,0.088
6.580e-05,0.096
6.590e-05,0.088
6.600e-05,0.08
6.610e-05,0.088
6.620e-05,0.072
6.630e-05,0.088
6.640e-05,0.072
6.650e-05,0.088
6.660e-05,0.088
6.670e-05,0.088
6.680e-05,0.08
6.690e-05,0.088
6.700e-05,0.072
6.710e-05,0.104
6.720e-05,0.08
6.730e-05,0.08
6.740e-05,0.088
6.750e-05,0.088
6.760e-05,0.088
6.770e-05,0.072
6.780e-05,0.088
6.790e-05,0.08
6.800e-05,0.088
6.810e-05,0.08
6.820e-05,0.08
6.830e-05,0.08
6.840e-05,0.08
6.850e-05,0.08
6.860e-05,0.096
6.870e-05,0.08
6.880e-05,0.072
6.890e-05,0.088
6.900e-05,0.08
6.910e-05,0.08
6.920e-05,0.096
6.930e-05,0.08
6.940e-05,0.08
6.950e-05,0.096
6.960e-05,0.08
6.970e-05,0.088
6.980e-05,0.088
6.990e-05,0.096
7.000e-05,0.08
7.010e-05,0.08
7.020e-05,0.08
7.030e-05,0.072
7.040e-05,0.072
7.050e-05,0.08
7.060e-05,0.088
7.070e-05,0.088
7.080e-05,0.096
7.090e-05,0.088
7.100e-05,0.088
7.110e-05,0.08
7.120e-05,0.088
7.130e-05,0.096
7.140e-05,0.096
7.150e-05,0.064
7.160e-05,0.096
7.170e-05,0.072
7.180e-05,0.088
7.190e-05,0.072
7.200e-05,0.088
7.210e-05,0.072
7.220e-05,0.088
7.230e-05,0.096
7.240e-05,0.08
7.250e-05,0.088
7.260e-05,0.088
7.270e-05,0.088
7.280e-05,0.072
7.290e-05,0.08
7.300e-05,0.088
7.310e-05,0.072
7.320e-05,0.088
7.330e-05,0.08
7.340e-05,0.096
7.350e-05,0.088
7.360e-05,0.096
7.370e-05,0.096
7.380e-05,0.104
7.390e-05,0.088
7.400e-05,0.088
7.410e-05,0.088
7.420e-05,0.072
7.430e-05,0.088
7.440e-05,0.08
7.450e-05,0.088
7.460e-05,0.104
7.470e-05,0.08
