Model,DPO3034
Firmware Version,2.16

Point Format,Y,,,Point Format,Y
Horizontal Units,S,,,Horizontal Units,S
Horizontal Scale,0.004,,,Horizontal Scale,0.004
Sample Interval,4e-05,,,Sample Interval,4e-05
Record Length,1000,,,Record Length,1000
Gating,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,,Probe Attenuation,1
Vertical Units,V,V,,Vertical Units,V
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,2,0.5,,Vertical Scale,1
Label,,,,Label,
TIME,CH1,CH2,,TIME,REF1
2.120e-03,7.64,2.28,,2.120e-03,2.28
2.160e-03,7.72,2.26,,2.160e-03,2.26
2.200e-03,7.64,2.28,,2.200e-03,2.28
2.240e-03,7.56,2.28,,2.240e-03,2.28
2.280e-03,7.64,2.24,,2.280e-03,2.24
2.320e-03,7.72,2.28,,2.320e-03,2.28
2.360e-03,7.64,2.28,,2.360e-03,2.28
2.400e-03,7.72,2.22,,2.400e-03,2.22
2.440e-03,7.72,2.28,,2.440e-03,2.28
2.480e-03,7.64,2.28,,2.480e-03,2.28
2.520e-03,7.56,2.28,,2.520e-03,2.28
2.560e-03,7.64,2.28,,2.560e-03,2.28
2.600e-03,7.64,2.28,,2.600e-03,2.28
2.640e-03,7.8,2.26,,2.640e-03,2.26
2.680e-03,7.64,2.3,,2.680e-03,2.3
2.720e-03,7.64,2.3,,2.720e-03,2.3
2.760e-03,7.72,2.3,,2.760e-03,2.3
2.800e-03,7.72,2.26,,2.800e-03,2.26
2.840e-03,7.72,2.3,,2.840e-03,2.3
2.880e-03,7.56,2.3,,2.880e-03,2.3
2.920e-03,7.56,2.32,,2.920e-03,2.32
2.960e-03,7.72,2.32,,2.960e-03,2.32
3.000e-03,7.56,2.28,,3.000e-03,2.28
3.040e-03,7.64,2.3,,3.040e-03,2.3
3.080e-03,7.64,2.34,,3.080e-03,2.34
3.120e-03,7.72,2.32,,3.120e-03,2.32
3.160e-03,7.64,2.3,,3.160e-03,2.3
3.200e-03,7.56,2.32,,3.200e-03,2.32
3.240e-03,7.48,2.24,,3.240e-03,2.24
3.280e-03,7.48,2.28,,3.280e-03,2.28
3.320e-03,7.72,2.32,,3.320e-03,2.32
3.360e-03,7.64,2.28,,3.360e-03,2.28
3.400e-03,7.56,2.36,,3.400e-03,2.36
3.440e-03,7.72,2.32,,3.440e-03,2.32
3.480e-03,7.72,2.36,,3.480e-03,2.36
3.520e-03,7.56,2.32,,3.520e-03,2.32
3.560e-03,7.56,2.34,,3.560e-03,2.34
3.600e-03,7.56,2.36,,3.600e-03,2.36
3.640e-03,7.56,2.3,,3.640e-03,2.3
3.680e-03,7.64,2.32,,3.680e-03,2.32
3.720e-03,7.64,2.32,,3.720e-03,2.32
3.760e-03,7.56,2.34,,3.760e-03,2.34
3.800e-03,7.8,2.32,,3.800e-03,2.32
3.840e-03,7.56,2.34,,3.840e-03,2.34
3.880e-03,7.48,2.3,,3.880e-03,2.3
3.920e-03,7.72,2.34,,3.920e-03,2.34
3.960e-03,7.56,2.34,,3.960e-03,2.34
4.000e-03,7.56,2.34,,4.000e-03,2.34
4.040e-03,7.72,2.3,,4.040e-03,2.3
4.080e-03,7.64,2.3,,4.080e-03,2.3
4.120e-03,7.48,2.32,,4.120e-03,2.32
4.160e-03,7.64,2.36,,4.160e-03,2.36
4.200e-03,7.64,2.32,,4.200e-03,2.32
4.240e-03,7.64,2.34,,4.240e-03,2.34
4.280e-03,7.56,2.32,,4.280e-03,2.32
4.320e-03,7.72,2.36,,4.320e-03,2.36
4.360e-03,7.56,2.34,,4.360e-03,2.34
4.400e-03,7.64,2.34,,4.400e-03,2.34
4.440e-03,7.48,2.4,,4.440e-03,2.4
4.480e-03,7.56,2.34,,4.480e-03,2.34
4.520e-03,7.56,2.32,,4.520e-03,2.32
4.560e-03,7.64,2.34,,4.560e-03,2.34
4.600e-03,7.56,2.34,,4.600e-03,2.34
4.640e-03,7.48,2.34,,4.640e-03,2.34
4.680e-03,7.48,2.36,,4.680e-03,2.36
4.720e-03,7.56,2.38,,4.720e-03,2.38
4.760e-03,7.48,2.34,,4.760e-03,2.34
