Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,2e-05
Sample Interval,2e-07
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH2
5.260e-05,0.416
5.280e-05,0.44
5.300e-05,0.428
5.320e-05,0.44
5.340e-05,0.424
5.360e-05,0.428
5.380e-05,0.428
5.400e-05,0.424
5.420e-05,0.424
5.440e-05,0.424
5.460e-05,0.432
5.480e-05,0.42
5.500e-05,0.424
5.520e-05,0.424
5.540e-05,0.42
5.560e-05,0.42
5.580e-05,0.42
5.600e-05,0.436
5.620e-05,0.428
5.640e-05,0.428
5.660e-05,0.424
5.680e-05,0.428
5.700e-05,0.436
5.720e-05,0.432
5.740e-05,0.424
5.760e-05,0.44
5.780e-05,0.408
5.800e-05,0.412
5.820e-05,0.424
5.840e-05,0.42
5.860e-05,0.428
5.880e-05,0.42
5.900e-05,0.42
5.920e-05,0.42
5.940e-05,0.432
5.960e-05,0.412
5.980e-05,0.424
6.000e-05,0.424
6.020e-05,0.424
6.040e-05,0.428
6.060e-05,0.424
6.080e-05,0.416
6.100e-05,0.42
6.120e-05,0.416
6.140e-05,0.42
6.160e-05,0.424
6.180e-05,0.42
6.200e-05,0.424
6.220e-05,0.42
6.240e-05,0.416
6.260e-05,0.416
6.280e-05,0.428
6.300e-05,0.42
6.320e-05,0.416
6.340e-05,0.424
6.360e-05,0.412
6.380e-05,0.428
6.400e-05,0.412
6.420e-05,0.416
6.440e-05,0.416
6.460e-05,0.42
6.480e-05,0.42
6.500e-05,0.412
6.520e-05,0.416
6.540e-05,0.408
6.560e-05,0.408
6.580e-05,0.416
6.600e-05,0.412
6.620e-05,0.416
6.640e-05,0.404
6.660e-05,0.396
6.680e-05,0.404
6.700e-05,0.4
6.720e-05,0.404
6.740e-05,0.4
6.760e-05,0.4
6.780e-05,0.396
6.800e-05,0.4
6.820e-05,0.388
6.840e-05,0.384
6.860e-05,0.396
6.880e-05,0.396
6.900e-05,0.4
6.920e-05,0.384
6.940e-05,0.384
6.960e-05,0.372
6.980e-05,0.268
7.000e-05,0.284
7.020e-05,0.296
7.040e-05,0.284
7.060e-05,0.28
7.080e-05,0.272
7.100e-05,0.276
7.120e-05,0.292
7.140e-05,0.276
7.160e-05,0.288
7.180e-05,0.284
7.200e-05,0.284
7.220e-05,0.416
7.240e-05,0.408
7.260e-05,0.388
7.280e-05,0.4
7.300e-05,0.392
7.320e-05,0.392
7.340e-05,0.392
7.360e-05,0.392
7.380e-05,0.38
7.400e-05,0.376
7.420e-05,0.388
7.440e-05,0.38
7.460e-05,0.388
7.480e-05,0.392
7.500e-05,0.28
7.520e-05,0.296
7.540e-05,0.284
7.560e-05,0.284
7.580e-05,0.284
7.600e-05,0.292
7.620e-05,0.288
7.640e-05,0.292
7.660e-05,0.296
7.680e-05,0.288
7.700e-05,0.28
7.720e-05,0.276
7.740e-05,0.284
7.760e-05,0.288
7.780e-05,0.284
7.800e-05,0.288
7.820e-05,0.288
7.840e-05,0.28
7.860e-05,0.284
7.880e-05,0.292
7.900e-05,0.284
7.920e-05,0.296
7.940e-05,0.288
7.960e-05,0.284
7.980e-05,0.288
8.000e-05,0.288
8.020e-05,0.284
8.040e-05,0.288
8.060e-05,0.276
8.080e-05,0.292
8.100e-05,0.288
8.120e-05,0.284
8.140e-05,0.28
8.160e-05,0.28
8.180e-05,0.288
8.200e-05,0.296
8.220e-05,0.304
8.240e-05,0.288
8.260e-05,0.296
8.280e-05,0.292
8.300e-05,0.316
8.320e-05,0.412
8.340e-05,0.404
8.360e-05,0.408
8.380e-05,0.392
8.400e-05,0.404
8.420e-05,0.396
8.440e-05,0.384
8.460e-05,0.392
8.480e-05,0.38
8.500e-05,0.384
8.520e-05,0.392
8.540e-05,0.392
8.560e-05,0.384
8.580e-05,0.38
8.600e-05,0.376
8.620e-05,0.388
8.640e-05,0.392
8.660e-05,0.388
8.680e-05,0.384
8.700e-05,0.38
8.720e-05,0.368
8.740e-05,0.38
8.760e-05,0.284
8.780e-05,0.276
8.800e-05,0.288
8.820e-05,0.28
8.840e-05,0.288
8.860e-05,0.288
8.880e-05,0.296
8.900e-05,0.268
8.920e-05,0.292
8.940e-05,0.296
8.960e-05,0.284
8.980e-05,0.296
9.000e-05,0.28
9.020e-05,0.288
9.040e-05,0.284
9.060e-05,0.288
9.080e-05,0.292
9.100e-05,0.296
9.120e-05,0.296
9.140e-05,0.288
9.160e-05,0.292
9.180e-05,0.296
9.200e-05,0.296
9.220e-05,0.296
9.240e-05,0.292
9.260e-05,0.296
9.280e-05,0.308
9.300e-05,0.288
9.320e-05,0.288
9.340e-05,0.296
9.360e-05,0.288
9.380e-05,0.28
9.400e-05,0.304
9.420e-05,0.296
9.440e-05,0.292
9.460e-05,0.288
9.480e-05,0.288
9.500e-05,0.292
9.520e-05,0.296
9.540e-05,0.3
9.560e-05,0.284
9.580e-05,0.3
9.600e-05,0.3
9.620e-05,0.292
9.640e-05,0.288
9.660e-05,0.288
9.680e-05,0.28
9.700e-05,0.288
9.720e-05,0.296
9.740e-05,0.288
9.760e-05,0.292
9.780e-05,0.284
9.800e-05,0.284
9.820e-05,0.292
9.840e-05,0.296
9.860e-05,0.284
9.880e-05,0.292
9.900e-05,0.292
9.920e-05,0.296
9.940e-05,0.284
9.960e-05,0.288
9.980e-05,0.296
1.000e-04,-0.208
1.002e-04,-0.064
1.004e-04,-0.02
1.006e-04,0
1.008e-04,-0.012
1.010e-04,-0.008
1.012e-04,-0.004
1.014e-04,0.008
1.016e-04,-0.004
1.018e-04,-0.004
1.020e-04,0.004
1.022e-04,0
1.024e-04,0.016
1.026e-04,0.012
1.028e-04,0
1.030e-04,0.008
1.032e-04,0.004
1.034e-04,-0.008
1.036e-04,-0.004
1.038e-04,0
1.040e-04,-0.012
1.042e-04,-0.008
1.044e-04,-0.004
1.046e-04,0.004
1.048e-04,0
1.050e-04,-0.008
1.052e-04,0
1.054e-04,0
1.056e-04,0
1.058e-04,0.02
1.060e-04,0.012
1.062e-04,-0.004
1.064e-04,-0.012
1.066e-04,0
1.068e-04,0
1.070e-04,-0.004
1.072e-04,0.008
1.074e-04,-0.02
1.076e-04,0
1.078e-04,-0.004
1.080e-04,0.004
1.082e-04,-0.008
1.084e-04,0.004
1.086e-04,0
1.088e-04,0.012
1.090e-04,0.02
1.092e-04,-0.004
1.094e-04,-0.004
1.096e-04,0
1.098e-04,0
1.100e-04,0.004
1.102e-04,0.004
1.104e-04,-0.004
1.106e-04,0.008
1.108e-04,-0.008
1.110e-04,0.004
1.112e-04,0.004
1.114e-04,0.004
1.116e-04,-0.012
1.118e-04,0.008
1.120e-04,0.012
1.122e-04,0
1.124e-04,0.016
1.126e-04,0.004
1.128e-04,0.004
1.130e-04,0.016
1.132e-04,0.016
1.134e-04,0.004
1.136e-04,-0.004
1.138e-04,0.004
1.140e-04,-0.008
1.142e-04,0.004
1.144e-04,0.004
1.146e-04,0
1.148e-04,0.004
1.150e-04,0
1.152e-04,0.008
1.154e-04,0.012
1.156e-04,0
1.158e-04,0.008
1.160e-04,0.008
1.162e-04,-0.004
1.164e-04,-0.004
1.166e-04,0.012
1.168e-04,-0.004
1.170e-04,-0.012
1.172e-04,-0.004
1.174e-04,-0.004
1.176e-04,0
1.178e-04,-0.004
1.180e-04,-0.004
1.182e-04,0
1.184e-04,0.004
1.186e-04,0.012
1.188e-04,-0.008
1.190e-04,0.016
1.192e-04,0
1.194e-04,-0.004
1.196e-04,0.012
1.198e-04,0.008
1.200e-04,0.004
1.202e-04,-0.008
1.204e-04,-0.004
1.206e-04,-0.004
1.208e-04,0
1.210e-04,0.004
1.212e-04,0
1.214e-04,0.016
1.216e-04,0.004
1.218e-04,0.012
1.220e-04,0.012
1.222e-04,0.004
1.224e-04,0.008
1.226e-04,0
1.228e-04,0.012
1.230e-04,0.012
1.232e-04,0.008
1.234e-04,-0.008
1.236e-04,-0.016
1.238e-04,0.012
1.240e-04,-0.008
1.242e-04,0.004
1.244e-04,0.016
1.246e-04,0.004
1.248e-04,-0.004
1.250e-04,-0.008
1.252e-04,0.012
1.254e-04,0
1.256e-04,0.004
1.258e-04,0.004
1.260e-04,0
1.262e-04,0
1.264e-04,0
1.266e-04,-0.008
1.268e-04,-0.008
1.270e-04,0
1.272e-04,0.004
1.274e-04,0
1.276e-04,-0.008
1.278e-04,0.004
1.280e-04,-0.008
1.282e-04,0.004
1.284e-04,0.012
1.286e-04,0.012
1.288e-04,-0.004
1.290e-04,0.004
1.292e-04,0.008
1.294e-04,0.004
1.296e-04,0
1.298e-04,0.004
1.300e-04,0.004
1.302e-04,0
1.304e-04,0.016
1.306e-04,0
1.308e-04,0
1.310e-04,0
1.312e-04,0.008
1.314e-04,0.012
1.316e-04,0.012
1.318e-04,0.032
1.320e-04,0.012
1.322e-04,0.004
1.324e-04,0
1.326e-04,0.016
1.328e-04,0
1.330e-04,0.004
1.332e-04,-0.004
1.334e-04,-0.004
1.336e-04,-0.012
1.338e-04,0.004
1.340e-04,0
1.342e-04,-0.004
1.344e-04,0.004
1.346e-04,0
1.348e-04,-0.004
1.350e-04,0.008
1.352e-04,0.008
1.354e-04,-0.008
1.356e-04,-0.004
1.358e-04,0
1.360e-04,0.012
1.362e-04,0.004
1.364e-04,0.004
1.366e-04,-0.004
1.368e-04,-0.008
1.370e-04,0
1.372e-04,-0.008
1.374e-04,0.004
1.376e-04,0
1.378e-04,-0.004
1.380e-04,-0.004
1.382e-04,0.004
1.384e-04,0.008
1.386e-04,0.008
1.388e-04,0
1.390e-04,0.004
1.392e-04,0.016
1.394e-04,0.008
1.396e-04,0.008
1.398e-04,0.008
1.400e-04,-0.004
1.402e-04,-0.008
1.404e-04,0.004
1.406e-04,0.012
1.408e-04,0.004
1.410e-04,-0.004
1.412e-04,0.004
1.414e-04,0
1.416e-04,0.004
1.418e-04,0.012
1.420e-04,-0.004
1.422e-04,0.016
1.424e-04,0.008
1.426e-04,0.008
1.428e-04,-0.012
1.430e-04,0
1.432e-04,0.008
1.434e-04,-0.004
1.436e-04,0.008
1.438e-04,0.012
1.440e-04,-0.008
1.442e-04,-0.004
1.444e-04,-0.012
1.446e-04,0.004
1.448e-04,0.016
1.450e-04,0.012
1.452e-04,-0.004
1.454e-04,0
1.456e-04,-0.004
1.458e-04,0.004
1.460e-04,-0.004
1.462e-04,0
1.464e-04,0.004
1.466e-04,0
1.468e-04,-0.008
1.470e-04,0.004
1.472e-04,-0.004
1.474e-04,0
1.476e-04,-0.004
1.478e-04,0.016
1.480e-04,0.004
1.482e-04,0.004
1.484e-04,0.012
1.486e-04,0.004
1.488e-04,0
1.490e-04,0.012
1.492e-04,0.016
1.494e-04,0.004
1.496e-04,0.004
1.498e-04,0
1.500e-04,0.004
1.502e-04,0.008
1.504e-04,0
1.506e-04,0
1.508e-04,0
1.510e-04,0.012
1.512e-04,0.008
1.514e-04,0
1.516e-04,0.012
1.518e-04,0.008
