tiempo	T1 [K]	Ibias1 [A]	Rrem1 [ohms]	T2 [K]	Ibias2 [A]	Rrem2 [ohms]	T3 [K]	Ibias3 [A]	Rrem3 [ohms]	T4 [K]	Ibias4 [A]	Rrem4 [ohms]	T5 [K]	Ibias5 [A]	Rrem5 [ohms]	T6 [K]	Ibias6 [A]	Rrem6 [ohms]	T7 [K]	Ibias7 [A]	Rrem7 [ohms]	Vbias [V]	After Loop Nº
3.5807281E+1	3.0502869E+2	5.4323231E-3	1.8408331E+2	3.0502295E+2	5.2750001E-5	0.0000000E+0	3.0502295E+2	5.2750001E-5	0.0000000E+0	3.0502295E+2	5.2750001E-5	0.0000000E+0	3.0502295E+2	5.2750001E-5	0.0000000E+0	3.0502295E+2	5.2750001E-5	0.0000000E+0	3.0502295E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
3.5957550E+1	3.0500952E+2	5.4315599E-3	1.8410918E+2	3.0498846E+2	5.2750001E-5	0.0000000E+0	3.0498846E+2	5.2750001E-5	0.0000000E+0	3.0498846E+2	5.2750001E-5	0.0000000E+0	3.0498846E+2	5.2750001E-5	0.0000000E+0	3.0498846E+2	5.2750001E-5	0.0000000E+0	3.0498846E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
3.6107552E+1	3.0500851E+2	5.4315929E-3	1.8410805E+2	3.0500562E+2	5.2750001E-5	0.0000000E+0	3.0500562E+2	5.2750001E-5	0.0000000E+0	3.0500562E+2	5.2750001E-5	0.0000000E+0	3.0500562E+2	5.2750001E-5	0.0000000E+0	3.0500562E+2	5.2750001E-5	0.0000000E+0	3.0500562E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
3.6257801E+1	3.0499136E+2	5.4311422E-3	1.8412334E+2	3.0499026E+2	5.2750001E-5	0.0000000E+0	3.0499026E+2	5.2750001E-5	0.0000000E+0	3.0499026E+2	5.2750001E-5	0.0000000E+0	3.0499026E+2	5.2750001E-5	0.0000000E+0	3.0499026E+2	5.2750001E-5	0.0000000E+0	3.0499026E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
3.6408066E+1	3.0499530E+2	5.4309182E-3	1.8413094E+2	3.0498663E+2	5.2750001E-5	0.0000000E+0	3.0498663E+2	5.2750001E-5	0.0000000E+0	3.0498663E+2	5.2750001E-5	0.0000000E+0	3.0498663E+2	5.2750001E-5	0.0000000E+0	3.0498663E+2	5.2750001E-5	0.0000000E+0	3.0498663E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
3.6558582E+1	3.0498270E+2	5.4302281E-3	1.8415433E+2	3.0498462E+2	5.2750001E-5	0.0000000E+0	3.0498462E+2	5.2750001E-5	0.0000000E+0	3.0498462E+2	5.2750001E-5	0.0000000E+0	3.0498462E+2	5.2750001E-5	0.0000000E+0	3.0498462E+2	5.2750001E-5	0.0000000E+0	3.0498462E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
3.6708851E+1	3.0496365E+2	5.4302630E-3	1.8415314E+2	3.0495981E+2	5.2750001E-5	0.0000000E+0	3.0495981E+2	5.2750001E-5	0.0000000E+0	3.0495981E+2	5.2750001E-5	0.0000000E+0	3.0495981E+2	5.2750001E-5	0.0000000E+0	3.0495981E+2	5.2750001E-5	0.0000000E+0	3.0495981E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
3.6858849E+1	3.0495114E+2	5.4296800E-3	1.8417291E+2	3.0494830E+2	5.2750001E-5	0.0000000E+0	3.0494830E+2	5.2750001E-5	0.0000000E+0	3.0494830E+2	5.2750001E-5	0.0000000E+0	3.0494830E+2	5.2750001E-5	0.0000000E+0	3.0494830E+2	5.2750001E-5	0.0000000E+0	3.0494830E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
3.7009102E+1	3.0495398E+2	5.4289950E-3	1.8419615E+2	3.0495596E+2	5.2750001E-5	0.0000000E+0	3.0495596E+2	5.2750001E-5	0.0000000E+0	3.0495596E+2	5.2750001E-5	0.0000000E+0	3.0495596E+2	5.2750001E-5	0.0000000E+0	3.0495596E+2	5.2750001E-5	0.0000000E+0	3.0495596E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
3.7159367E+1	3.0492633E+2	5.4293219E-3	1.8418506E+2	3.0492917E+2	5.2750001E-5	0.0000000E+0	3.0492917E+2	5.2750001E-5	0.0000000E+0	3.0492917E+2	5.2750001E-5	0.0000000E+0	3.0492917E+2	5.2750001E-5	0.0000000E+0	3.0492917E+2	5.2750001E-5	0.0000000E+0	3.0492917E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
3.7309635E+1	3.0490417E+2	5.4286658E-3	1.8420732E+2	3.0491000E+2	5.2750001E-5	0.0000000E+0	3.0491000E+2	5.2750001E-5	0.0000000E+0	3.0491000E+2	5.2750001E-5	0.0000000E+0	3.0491000E+2	5.2750001E-5	0.0000000E+0	3.0491000E+2	5.2750001E-5	0.0000000E+0	3.0491000E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
3.7459885E+1	3.0489276E+2	5.4282630E-3	1.8422099E+2	3.0488904E+2	5.2750001E-5	0.0000000E+0	3.0488904E+2	5.2750001E-5	0.0000000E+0	3.0488904E+2	5.2750001E-5	0.0000000E+0	3.0488904E+2	5.2750001E-5	0.0000000E+0	3.0488904E+2	5.2750001E-5	0.0000000E+0	3.0488904E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
3.7610416E+1	3.0487460E+2	5.4282169E-3	1.8422255E+2	3.0486804E+2	5.2750001E-5	0.0000000E+0	3.0486804E+2	5.2750001E-5	0.0000000E+0	3.0486804E+2	5.2750001E-5	0.0000000E+0	3.0486804E+2	5.2750001E-5	0.0000000E+0	3.0486804E+2	5.2750001E-5	0.0000000E+0	3.0486804E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
3.7760666E+1	3.0486432E+2	5.4279389E-3	1.8423199E+2	3.0486240E+2	5.2750001E-5	0.0000000E+0	3.0486240E+2	5.2750001E-5	0.0000000E+0	3.0486240E+2	5.2750001E-5	0.0000000E+0	3.0486240E+2	5.2750001E-5	0.0000000E+0	3.0486240E+2	5.2750001E-5	0.0000000E+0	3.0486240E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
